wavelength,absorbance,subtracted_absorbance
3.000000000000000000e+02,1.118999999999999995e+00,4.621666666666665035e-01
3.050000000000000000e+02,9.729999999999999760e-01,4.591666666666667229e-01
3.100000000000000000e+02,9.030000000000000249e-01,4.506666666666667154e-01
3.150000000000000000e+02,8.559999999999999831e-01,4.423333333333333561e-01
3.200000000000000000e+02,8.090000000000000524e-01,4.336666666666667558e-01
3.250000000000000000e+02,7.680000000000000160e-01,4.245000000000000995e-01
3.300000000000000000e+02,7.349999999999999867e-01,4.186666666666666314e-01
3.350000000000000000e+02,6.999999999999999556e-01,4.118333333333333290e-01
3.400000000000000000e+02,6.710000000000000409e-01,4.058333333333333237e-01
3.450000000000000000e+02,6.490000000000000213e-01,4.000000000000000222e-01
3.500000000000000000e+02,6.340000000000000080e-01,3.958333333333333703e-01
3.550000000000000000e+02,6.199999999999999956e-01,3.920000000000000151e-01
3.600000000000000000e+02,5.999999999999999778e-01,3.866666666666666030e-01
3.650000000000000000e+02,5.679999999999999494e-01,3.786666666666665959e-01
3.700000000000000000e+02,5.000000000000000000e-01,3.628333333333333410e-01
3.750000000000000000e+02,4.299999999999999933e-01,3.420000000000000262e-01
3.800000000000000000e+02,4.020000000000000240e-01,3.331666666666666665e-01
3.850000000000000000e+02,3.870000000000000107e-01,3.271666666666666612e-01
3.900000000000000000e+02,3.770000000000000018e-01,3.215000000000000080e-01
3.950000000000000000e+02,3.699999999999999956e-01,3.171666666666666523e-01
4.000000000000000000e+02,3.629999999999999893e-01,3.121666666666666479e-01
4.050000000000000000e+02,3.569999999999999840e-01,3.078333333333332922e-01
4.100000000000000000e+02,3.509999999999999787e-01,3.028333333333332877e-01
4.150000000000000000e+02,3.469999999999999751e-01,2.998333333333332851e-01
4.200000000000000000e+02,3.420000000000000262e-01,2.960000000000000409e-01
4.250000000000000000e+02,3.390000000000000235e-01,2.935000000000000386e-01
4.300000000000000000e+02,3.360000000000000209e-01,2.915000000000000369e-01
4.350000000000000000e+02,3.330000000000000182e-01,2.893333333333333313e-01
4.400000000000000000e+02,3.310000000000000164e-01,2.878333333333333299e-01
4.450000000000000000e+02,3.300000000000000155e-01,2.876666666666666816e-01
4.500000000000000000e+02,3.290000000000000147e-01,2.870000000000000329e-01
4.550000000000000000e+02,3.290000000000000147e-01,2.875000000000000333e-01
4.600000000000000000e+02,3.300000000000000155e-01,2.890000000000000346e-01
4.650000000000000000e+02,3.310000000000000164e-01,2.906666666666666843e-01
4.700000000000000000e+02,3.340000000000000191e-01,2.940000000000000391e-01
4.750000000000000000e+02,3.380000000000000226e-01,2.983333333333333393e-01
4.800000000000000000e+02,3.430000000000000271e-01,3.036666666666666958e-01
4.850000000000000000e+02,3.489999999999999769e-01,3.098333333333332940e-01
4.900000000000000000e+02,3.579999999999999849e-01,3.191666666666666541e-01
4.950000000000000000e+02,3.669999999999999929e-01,3.283333333333333104e-01
5.000000000000000000e+02,3.770000000000000018e-01,3.383333333333333193e-01
5.050000000000000000e+02,3.880000000000000115e-01,3.496666666666666812e-01
5.100000000000000000e+02,3.980000000000000204e-01,3.596666666666666901e-01
5.150000000000000000e+02,4.060000000000000275e-01,3.675000000000000488e-01
5.200000000000000000e+02,4.119999999999999774e-01,3.734999999999999987e-01
5.250000000000000000e+02,4.159999999999999809e-01,3.776666666666666505e-01
5.300000000000000000e+02,4.169999999999999818e-01,3.785000000000000031e-01
5.350000000000000000e+02,4.159999999999999809e-01,3.773333333333332984e-01
5.400000000000000000e+02,4.109999999999999765e-01,3.721666666666666456e-01
5.450000000000000000e+02,4.030000000000000249e-01,3.641666666666666941e-01
5.500000000000000000e+02,3.930000000000000160e-01,3.541666666666666852e-01
5.550000000000000000e+02,3.800000000000000044e-01,3.410000000000000253e-01
5.600000000000000000e+02,3.649999999999999911e-01,3.261666666666666603e-01
5.650000000000000000e+02,3.489999999999999769e-01,3.098333333333332940e-01
5.700000000000000000e+02,3.320000000000000173e-01,2.928333333333333344e-01
5.750000000000000000e+02,3.150000000000000022e-01,2.758333333333333193e-01
5.800000000000000000e+02,2.979999999999999871e-01,2.588333333333333042e-01
5.850000000000000000e+02,2.810000000000000275e-01,2.418333333333333446e-01
5.900000000000000000e+02,2.640000000000000124e-01,2.243333333333333290e-01
5.950000000000000000e+02,2.479999999999999982e-01,2.084999999999999909e-01
6.000000000000000000e+02,2.340000000000000135e-01,1.941666666666666818e-01
6.050000000000000000e+02,2.200000000000000011e-01,1.801666666666666694e-01
6.100000000000000000e+02,2.069999999999999896e-01,1.671666666666666579e-01
6.150000000000000000e+02,1.950000000000000067e-01,1.554999999999999993e-01
6.200000000000000000e+02,1.829999999999999960e-01,1.436666666666666647e-01
6.250000000000000000e+02,1.729999999999999871e-01,1.336666666666666559e-01
6.300000000000000000e+02,1.640000000000000069e-01,1.248333333333333378e-01
6.350000000000000000e+02,1.549999999999999989e-01,1.158333333333333298e-01
6.400000000000000000e+02,1.479999999999999927e-01,1.091666666666666619e-01
6.450000000000000000e+02,1.409999999999999865e-01,1.021666666666666556e-01
6.500000000000000000e+02,1.340000000000000080e-01,9.533333333333333937e-02
6.550000000000000000e+02,1.280000000000000027e-01,8.933333333333333404e-02
6.600000000000000000e+02,1.229999999999999982e-01,8.416666666666666741e-02
6.650000000000000000e+02,1.179999999999999938e-01,7.933333333333332515e-02
6.700000000000000000e+02,1.130000000000000032e-01,7.450000000000001066e-02
6.750000000000000000e+02,1.089999999999999997e-01,7.050000000000000711e-02
6.800000000000000000e+02,1.049999999999999961e-01,6.666666666666665186e-02
6.850000000000000000e+02,1.010000000000000064e-01,6.266666666666667607e-02
6.900000000000000000e+02,9.800000000000000377e-02,5.983333333333333559e-02
6.950000000000000000e+02,9.500000000000000111e-02,5.666666666666666380e-02
7.000000000000000000e+02,9.199999999999999845e-02,5.349999999999999895e-02
7.050000000000000000e+02,8.999999999999999667e-02,5.066666666666665847e-02
7.100000000000000000e+02,8.899999999999999578e-02,4.833333333333333232e-02
7.150000000000000000e+02,8.799999999999999489e-02,4.633333333333333054e-02
7.200000000000000000e+02,8.599999999999999312e-02,4.416666666666665964e-02
7.250000000000000000e+02,8.500000000000000611e-02,4.233333333333334086e-02
7.300000000000000000e+02,8.500000000000000611e-02,4.050000000000001515e-02
7.350000000000000000e+02,8.500000000000000611e-02,3.850000000000001338e-02
7.400000000000000000e+02,8.500000000000000611e-02,3.800000000000001293e-02
7.450000000000000000e+02,8.300000000000000433e-02,3.583333333333334203e-02
7.500000000000000000e+02,8.200000000000000344e-02,3.483333333333334114e-02
7.550000000000000000e+02,8.100000000000000255e-02,3.383333333333334025e-02
7.600000000000000000e+02,8.000000000000000167e-02,3.283333333333333937e-02
7.650000000000000000e+02,7.799999999999999989e-02,3.116666666666666891e-02
7.700000000000000000e+02,7.699999999999999900e-02,3.050000000000000627e-02
7.750000000000000000e+02,7.599999999999999811e-02,2.983333333333333670e-02
