wavelength,absorbance,subtracted_absorbance
3.000000000000000000e+02,8.679999999999999938e-01,2.111666666666665026e-01
3.050000000000000000e+02,7.309999999999999831e-01,2.171666666666667300e-01
3.100000000000000000e+02,6.730000000000000426e-01,2.206666666666667331e-01
3.150000000000000000e+02,6.340000000000000080e-01,2.203333333333333810e-01
3.200000000000000000e+02,5.949999999999999734e-01,2.196666666666666767e-01
3.250000000000000000e+02,5.629999999999999449e-01,2.195000000000000284e-01
3.300000000000000000e+02,5.360000000000000320e-01,2.196666666666666767e-01
3.350000000000000000e+02,5.070000000000000062e-01,2.188333333333333797e-01
3.400000000000000000e+02,4.829999999999999849e-01,2.178333333333332678e-01
3.450000000000000000e+02,4.670000000000000262e-01,2.180000000000000548e-01
3.500000000000000000e+02,4.550000000000000155e-01,2.168333333333333779e-01
3.550000000000000000e+02,4.460000000000000075e-01,2.180000000000000271e-01
3.600000000000000000e+02,4.309999999999999942e-01,2.176666666666666472e-01
3.650000000000000000e+02,4.060000000000000275e-01,2.166666666666667018e-01
3.700000000000000000e+02,3.459999999999999742e-01,2.088333333333332875e-01
3.750000000000000000e+02,2.869999999999999774e-01,1.990000000000000102e-01
3.800000000000000000e+02,2.660000000000000142e-01,1.971666666666666567e-01
3.850000000000000000e+02,2.560000000000000053e-01,1.961666666666666836e-01
3.900000000000000000e+02,2.520000000000000018e-01,1.965000000000000080e-01
3.950000000000000000e+02,2.489999999999999991e-01,1.961666666666666559e-01
4.000000000000000000e+02,2.469999999999999973e-01,1.961666666666666559e-01
4.050000000000000000e+02,2.449999999999999956e-01,1.958333333333333315e-01
4.100000000000000000e+02,2.429999999999999938e-01,1.948333333333333306e-01
4.150000000000000000e+02,2.419999999999999929e-01,1.948333333333333306e-01
4.200000000000000000e+02,2.399999999999999911e-01,1.940000000000000058e-01
4.250000000000000000e+02,2.389999999999999902e-01,1.935000000000000053e-01
4.300000000000000000e+02,2.369999999999999885e-01,1.925000000000000044e-01
4.350000000000000000e+02,2.359999999999999876e-01,1.923333333333333284e-01
4.400000000000000000e+02,2.349999999999999867e-01,1.918333333333333279e-01
4.450000000000000000e+02,2.330000000000000127e-01,1.906666666666666787e-01
4.500000000000000000e+02,2.320000000000000118e-01,1.900000000000000022e-01
4.550000000000000000e+02,2.300000000000000100e-01,1.885000000000000009e-01
4.600000000000000000e+02,2.290000000000000091e-01,1.880000000000000004e-01
4.650000000000000000e+02,2.270000000000000073e-01,1.866666666666666752e-01
4.700000000000000000e+02,2.250000000000000056e-01,1.849999999999999978e-01
4.750000000000000000e+02,2.240000000000000047e-01,1.843333333333333490e-01
4.800000000000000000e+02,2.230000000000000038e-01,1.836666666666666725e-01
4.850000000000000000e+02,2.220000000000000029e-01,1.828333333333333477e-01
4.900000000000000000e+02,2.220000000000000029e-01,1.831666666666666721e-01
4.950000000000000000e+02,2.230000000000000038e-01,1.843333333333333490e-01
5.000000000000000000e+02,2.250000000000000056e-01,1.863333333333333508e-01
5.050000000000000000e+02,2.280000000000000082e-01,1.896666666666666778e-01
5.100000000000000000e+02,2.320000000000000118e-01,1.936666666666666814e-01
5.150000000000000000e+02,2.359999999999999876e-01,1.974999999999999811e-01
5.200000000000000000e+02,2.389999999999999902e-01,2.004999999999999838e-01
5.250000000000000000e+02,2.419999999999999929e-01,2.036666666666666625e-01
5.300000000000000000e+02,2.449999999999999956e-01,2.064999999999999891e-01
5.350000000000000000e+02,2.469999999999999973e-01,2.083333333333333148e-01
5.400000000000000000e+02,2.479999999999999982e-01,2.091666666666666674e-01
5.450000000000000000e+02,2.489999999999999991e-01,2.101666666666666683e-01
5.500000000000000000e+02,2.500000000000000000e-01,2.111666666666666692e-01
5.550000000000000000e+02,2.500000000000000000e-01,2.109999999999999931e-01
5.600000000000000000e+02,2.500000000000000000e-01,2.111666666666666692e-01
5.650000000000000000e+02,2.500000000000000000e-01,2.108333333333333171e-01
5.700000000000000000e+02,2.500000000000000000e-01,2.108333333333333171e-01
5.750000000000000000e+02,2.489999999999999991e-01,2.098333333333333162e-01
5.800000000000000000e+02,2.489999999999999991e-01,2.098333333333333162e-01
5.850000000000000000e+02,2.479999999999999982e-01,2.088333333333333153e-01
5.900000000000000000e+02,2.479999999999999982e-01,2.083333333333333148e-01
5.950000000000000000e+02,2.469999999999999973e-01,2.074999999999999900e-01
6.000000000000000000e+02,2.469999999999999973e-01,2.071666666666666656e-01
6.050000000000000000e+02,2.469999999999999973e-01,2.071666666666666656e-01
6.100000000000000000e+02,2.459999999999999964e-01,2.061666666666666647e-01
6.150000000000000000e+02,2.459999999999999964e-01,2.064999999999999891e-01
6.200000000000000000e+02,2.459999999999999964e-01,2.066666666666666652e-01
6.250000000000000000e+02,2.449999999999999956e-01,2.056666666666666643e-01
6.300000000000000000e+02,2.449999999999999956e-01,2.058333333333333126e-01
6.350000000000000000e+02,2.449999999999999956e-01,2.058333333333333126e-01
6.400000000000000000e+02,2.449999999999999956e-01,2.061666666666666647e-01
6.450000000000000000e+02,2.449999999999999956e-01,2.061666666666666647e-01
6.500000000000000000e+02,2.449999999999999956e-01,2.063333333333333131e-01
6.550000000000000000e+02,2.449999999999999956e-01,2.063333333333333131e-01
6.600000000000000000e+02,2.459999999999999964e-01,2.071666666666666656e-01
6.650000000000000000e+02,2.459999999999999964e-01,2.073333333333333139e-01
6.700000000000000000e+02,2.459999999999999964e-01,2.074999999999999900e-01
6.750000000000000000e+02,2.459999999999999964e-01,2.074999999999999900e-01
6.800000000000000000e+02,2.469999999999999973e-01,2.086666666666666670e-01
6.850000000000000000e+02,2.469999999999999973e-01,2.086666666666666670e-01
6.900000000000000000e+02,2.469999999999999973e-01,2.088333333333333153e-01
6.950000000000000000e+02,2.479999999999999982e-01,2.096666666666666679e-01
7.000000000000000000e+02,2.489999999999999991e-01,2.104999999999999927e-01
7.050000000000000000e+02,2.500000000000000000e-01,2.106666666666666687e-01
7.100000000000000000e+02,2.510000000000000009e-01,2.103333333333333444e-01
7.150000000000000000e+02,2.530000000000000027e-01,2.113333333333333452e-01
7.200000000000000000e+02,2.540000000000000036e-01,2.121666666666666701e-01
7.250000000000000000e+02,2.550000000000000044e-01,2.123333333333333461e-01
7.300000000000000000e+02,2.580000000000000071e-01,2.135000000000000231e-01
7.350000000000000000e+02,2.600000000000000089e-01,2.135000000000000231e-01
7.400000000000000000e+02,2.610000000000000098e-01,2.140000000000000235e-01
7.450000000000000000e+02,2.620000000000000107e-01,2.148333333333333484e-01
7.500000000000000000e+02,2.630000000000000115e-01,2.158333333333333492e-01
7.550000000000000000e+02,2.630000000000000115e-01,2.158333333333333492e-01
7.600000000000000000e+02,2.640000000000000124e-01,2.168333333333333501e-01
7.650000000000000000e+02,2.640000000000000124e-01,2.171666666666666745e-01
7.700000000000000000e+02,2.650000000000000133e-01,2.185000000000000275e-01
