wavelength,absorbance,subtracted_absorbance
3.000000000000000000e+02,6.520000000000000240e-01,-4.833333333333467152e-03
3.050000000000000000e+02,5.180000000000000160e-01,4.166666666666762886e-03
3.100000000000000000e+02,4.580000000000000182e-01,5.666666666666708707e-03
3.150000000000000000e+02,4.199999999999999845e-01,6.333333333333357462e-03
3.200000000000000000e+02,3.820000000000000062e-01,6.666666666666709595e-03
3.250000000000000000e+02,3.509999999999999787e-01,7.500000000000062172e-03
3.300000000000000000e+02,3.260000000000000120e-01,9.666666666666656749e-03
3.350000000000000000e+02,2.969999999999999862e-01,8.833333333333359683e-03
3.400000000000000000e+02,2.750000000000000222e-01,9.833333333333305060e-03
3.450000000000000000e+02,2.600000000000000089e-01,1.100000000000003753e-02
3.500000000000000000e+02,2.489999999999999991e-01,1.083333333333336146e-02
3.550000000000000000e+02,2.389999999999999902e-01,1.100000000000000977e-02
3.600000000000000000e+02,2.250000000000000056e-01,1.166666666666665853e-02
3.650000000000000000e+02,2.000000000000000111e-01,1.066666666666668539e-02
3.700000000000000000e+02,1.459999999999999909e-01,8.833333333333304171e-03
3.750000000000000000e+02,8.999999999999999667e-02,2.000000000000015654e-03
3.800000000000000000e+02,7.000000000000000666e-02,1.166666666666663077e-03
3.850000000000000000e+02,5.999999999999999778e-02,1.666666666666691277e-04
3.900000000000000000e+02,5.600000000000000117e-02,5.000000000000004441e-04
3.950000000000000000e+02,5.299999999999999850e-02,1.666666666666621888e-04
4.000000000000000000e+02,5.099999999999999672e-02,1.666666666666621888e-04
4.050000000000000000e+02,5.000000000000000278e-02,8.333333333333386994e-04
4.100000000000000000e+02,4.900000000000000189e-02,8.333333333333386994e-04
4.150000000000000000e+02,4.800000000000000100e-02,8.333333333333386994e-04
4.200000000000000000e+02,4.700000000000000011e-02,1.000000000000007827e-03
4.250000000000000000e+02,4.599999999999999922e-02,5.000000000000073830e-04
4.300000000000000000e+02,4.599999999999999922e-02,1.500000000000008271e-03
4.350000000000000000e+02,4.499999999999999833e-02,1.333333333333339144e-03
4.400000000000000000e+02,4.399999999999999745e-02,8.333333333333317605e-04
