wavelength,absorbance,subtracted_absorbance
3.000000000000000000e+02,9.509999999999999565e-01,2.941666666666664653e-01
3.050000000000000000e+02,7.930000000000000382e-01,2.791666666666667851e-01
3.100000000000000000e+02,7.139999999999999680e-01,2.616666666666666585e-01
3.150000000000000000e+02,6.580000000000000293e-01,2.443333333333334023e-01
3.200000000000000000e+02,6.029999999999999805e-01,2.276666666666666838e-01
3.250000000000000000e+02,5.560000000000000497e-01,2.125000000000001332e-01
3.300000000000000000e+02,5.160000000000000142e-01,1.996666666666666590e-01
3.350000000000000000e+02,4.739999999999999769e-01,1.858333333333333504e-01
3.400000000000000000e+02,4.400000000000000022e-01,1.748333333333332851e-01
3.450000000000000000e+02,4.129999999999999782e-01,1.640000000000000069e-01
3.500000000000000000e+02,3.940000000000000169e-01,1.558333333333333792e-01
3.550000000000000000e+02,3.750000000000000000e-01,1.470000000000000195e-01
3.600000000000000000e+02,3.529999999999999805e-01,1.396666666666666334e-01
3.650000000000000000e+02,3.190000000000000058e-01,1.296666666666666801e-01
3.700000000000000000e+02,2.500000000000000000e-01,1.128333333333333133e-01
3.750000000000000000e+02,1.769999999999999907e-01,8.900000000000000966e-02
3.800000000000000000e+02,1.469999999999999918e-01,7.816666666666664820e-02
3.850000000000000000e+02,1.310000000000000053e-01,7.116666666666668362e-02
3.900000000000000000e+02,1.209999999999999964e-01,6.550000000000000266e-02
3.950000000000000000e+02,1.140000000000000041e-01,6.116666666666666780e-02
4.000000000000000000e+02,1.069999999999999979e-01,5.616666666666666335e-02
4.050000000000000000e+02,1.010000000000000064e-01,5.183333333333334236e-02
4.100000000000000000e+02,9.600000000000000200e-02,4.783333333333333881e-02
4.150000000000000000e+02,9.099999999999999756e-02,4.383333333333333526e-02
4.200000000000000000e+02,8.699999999999999400e-02,4.100000000000000172e-02
4.250000000000000000e+02,8.300000000000000433e-02,3.750000000000001249e-02
4.300000000000000000e+02,8.000000000000000167e-02,3.550000000000001071e-02
4.350000000000000000e+02,7.599999999999999811e-02,3.233333333333333892e-02
4.400000000000000000e+02,7.299999999999999545e-02,2.983333333333332976e-02
4.450000000000000000e+02,7.099999999999999367e-02,2.866666666666665975e-02
4.500000000000000000e+02,6.900000000000000577e-02,2.700000000000000316e-02
4.550000000000000000e+02,6.700000000000000400e-02,2.550000000000000183e-02
4.600000000000000000e+02,6.400000000000000133e-02,2.299999999999999961e-02
4.650000000000000000e+02,6.199999999999999956e-02,2.166666666666666047e-02
4.700000000000000000e+02,6.099999999999999867e-02,2.099999999999999784e-02
4.750000000000000000e+02,5.899999999999999689e-02,1.933333333333332738e-02
4.800000000000000000e+02,5.800000000000000294e-02,1.866666666666666474e-02
4.850000000000000000e+02,5.700000000000000205e-02,1.783333333333333298e-02
4.900000000000000000e+02,5.600000000000000117e-02,1.716666666666666341e-02
4.950000000000000000e+02,5.500000000000000028e-02,1.633333333333333165e-02
5.000000000000000000e+02,5.399999999999999939e-02,1.533333333333333076e-02
5.050000000000000000e+02,5.299999999999999850e-02,1.466666666666666119e-02
5.100000000000000000e+02,5.199999999999999761e-02,1.366666666666666030e-02
5.150000000000000000e+02,5.099999999999999672e-02,1.249999999999999722e-02
5.200000000000000000e+02,5.099999999999999672e-02,1.249999999999999722e-02
5.250000000000000000e+02,5.000000000000000278e-02,1.166666666666666546e-02
5.300000000000000000e+02,5.000000000000000278e-02,1.150000000000000328e-02
5.350000000000000000e+02,4.900000000000000189e-02,1.033333333333333326e-02
5.400000000000000000e+02,4.800000000000000100e-02,9.166666666666663243e-03
5.450000000000000000e+02,4.800000000000000100e-02,9.166666666666663243e-03
5.500000000000000000e+02,4.700000000000000011e-02,8.166666666666662355e-03
5.550000000000000000e+02,4.700000000000000011e-02,8.000000000000000167e-03
5.600000000000000000e+02,4.700000000000000011e-02,8.166666666666662355e-03
5.650000000000000000e+02,4.599999999999999922e-02,6.833333333333330151e-03
5.700000000000000000e+02,4.599999999999999922e-02,6.833333333333330151e-03
5.750000000000000000e+02,4.599999999999999922e-02,6.833333333333330151e-03
5.800000000000000000e+02,4.599999999999999922e-02,6.833333333333330151e-03
5.850000000000000000e+02,4.499999999999999833e-02,5.833333333333329263e-03
5.900000000000000000e+02,4.499999999999999833e-02,5.333333333333328818e-03
5.950000000000000000e+02,4.499999999999999833e-02,5.499999999999997946e-03
6.000000000000000000e+02,4.499999999999999833e-02,5.166666666666659691e-03
6.050000000000000000e+02,4.499999999999999833e-02,5.166666666666659691e-03
6.100000000000000000e+02,4.399999999999999745e-02,4.166666666666658803e-03
6.150000000000000000e+02,4.399999999999999745e-02,4.499999999999997058e-03
6.200000000000000000e+02,4.399999999999999745e-02,4.666666666666659247e-03
6.250000000000000000e+02,4.299999999999999656e-02,3.666666666666658358e-03
6.300000000000000000e+02,4.299999999999999656e-02,3.833333333333327486e-03
6.350000000000000000e+02,4.299999999999999656e-02,3.833333333333327486e-03
6.400000000000000000e+02,4.299999999999999656e-02,4.166666666666658803e-03
6.450000000000000000e+02,4.299999999999999656e-02,4.166666666666658803e-03
6.500000000000000000e+02,4.299999999999999656e-02,4.333333333333327930e-03
6.550000000000000000e+02,4.299999999999999656e-02,4.333333333333327930e-03
6.600000000000000000e+02,4.299999999999999656e-02,4.166666666666658803e-03
