wavelength,absorbance,subtracted_absorbance
3.000000000000000000e+02,1.022000000000000020e+00,3.651666666666665284e-01
3.050000000000000000e+02,8.609999999999999876e-01,3.471666666666667345e-01
3.100000000000000000e+02,7.800000000000000266e-01,3.276666666666667171e-01
3.150000000000000000e+02,7.259999999999999787e-01,3.123333333333333517e-01
3.200000000000000000e+02,6.680000000000000382e-01,2.926666666666667416e-01
3.250000000000000000e+02,6.179999999999999938e-01,2.745000000000000773e-01
3.300000000000000000e+02,5.719999999999999529e-01,2.556666666666665977e-01
3.350000000000000000e+02,5.260000000000000231e-01,2.378333333333333965e-01
3.400000000000000000e+02,4.859999999999999876e-01,2.208333333333332704e-01
3.450000000000000000e+02,4.550000000000000155e-01,2.060000000000000442e-01
3.500000000000000000e+02,4.339999999999999969e-01,1.958333333333333592e-01
3.550000000000000000e+02,4.159999999999999809e-01,1.880000000000000004e-01
3.600000000000000000e+02,3.930000000000000160e-01,1.796666666666666690e-01
3.650000000000000000e+02,3.609999999999999876e-01,1.716666666666666619e-01
3.700000000000000000e+02,2.949999999999999845e-01,1.578333333333332977e-01
3.750000000000000000e+02,2.340000000000000135e-01,1.460000000000000187e-01
3.800000000000000000e+02,2.089999999999999913e-01,1.401666666666666616e-01
3.850000000000000000e+02,1.950000000000000067e-01,1.351666666666666849e-01
3.900000000000000000e+02,1.869999999999999996e-01,1.315000000000000058e-01
3.950000000000000000e+02,1.809999999999999942e-01,1.281666666666666510e-01
4.000000000000000000e+02,1.759999999999999898e-01,1.251666666666666483e-01
4.050000000000000000e+02,1.719999999999999862e-01,1.228333333333333222e-01
4.100000000000000000e+02,1.680000000000000104e-01,1.198333333333333472e-01
4.150000000000000000e+02,1.650000000000000078e-01,1.178333333333333455e-01
4.200000000000000000e+02,1.620000000000000051e-01,1.160000000000000198e-01
4.250000000000000000e+02,1.590000000000000024e-01,1.135000000000000175e-01
4.300000000000000000e+02,1.570000000000000007e-01,1.125000000000000167e-01
4.350000000000000000e+02,1.539999999999999980e-01,1.103333333333333388e-01
4.400000000000000000e+02,1.519999999999999962e-01,1.088333333333333375e-01
4.450000000000000000e+02,1.509999999999999953e-01,1.086666666666666614e-01
4.500000000000000000e+02,1.499999999999999944e-01,1.079999999999999849e-01
4.550000000000000000e+02,1.489999999999999936e-01,1.074999999999999845e-01
4.600000000000000000e+02,1.489999999999999936e-01,1.079999999999999849e-01
4.650000000000000000e+02,1.489999999999999936e-01,1.086666666666666614e-01
4.700000000000000000e+02,1.499999999999999944e-01,1.099999999999999867e-01
4.750000000000000000e+02,1.509999999999999953e-01,1.113333333333333258e-01
4.800000000000000000e+02,1.539999999999999980e-01,1.146666666666666667e-01
4.850000000000000000e+02,1.570000000000000007e-01,1.178333333333333316e-01
4.900000000000000000e+02,1.610000000000000042e-01,1.221666666666666734e-01
4.950000000000000000e+02,1.670000000000000095e-01,1.283333333333333548e-01
5.000000000000000000e+02,1.729999999999999871e-01,1.343333333333333046e-01
5.050000000000000000e+02,1.809999999999999942e-01,1.426666666666666639e-01
5.100000000000000000e+02,1.890000000000000013e-01,1.506666666666666710e-01
5.150000000000000000e+02,1.970000000000000084e-01,1.585000000000000020e-01
5.200000000000000000e+02,2.039999999999999869e-01,1.654999999999999805e-01
5.250000000000000000e+02,2.089999999999999913e-01,1.706666666666666610e-01
5.300000000000000000e+02,2.129999999999999949e-01,1.744999999999999885e-01
5.350000000000000000e+02,2.149999999999999967e-01,1.763333333333333419e-01
5.400000000000000000e+02,2.139999999999999958e-01,1.751666666666666650e-01
5.450000000000000000e+02,2.119999999999999940e-01,1.731666666666666632e-01
5.500000000000000000e+02,2.089999999999999913e-01,1.701666666666666605e-01
5.550000000000000000e+02,2.039999999999999869e-01,1.649999999999999800e-01
5.600000000000000000e+02,1.970000000000000084e-01,1.581666666666666776e-01
5.650000000000000000e+02,1.900000000000000022e-01,1.508333333333333193e-01
5.700000000000000000e+02,1.829999999999999960e-01,1.438333333333333131e-01
5.750000000000000000e+02,1.749999999999999889e-01,1.358333333333333059e-01
5.800000000000000000e+02,1.680000000000000104e-01,1.288333333333333552e-01
5.850000000000000000e+02,1.610000000000000042e-01,1.218333333333333351e-01
5.900000000000000000e+02,1.539999999999999980e-01,1.143333333333333285e-01
5.950000000000000000e+02,1.479999999999999927e-01,1.084999999999999853e-01
6.000000000000000000e+02,1.419999999999999873e-01,1.021666666666666556e-01
6.050000000000000000e+02,1.370000000000000107e-01,9.716666666666667895e-02
6.100000000000000000e+02,1.320000000000000062e-01,9.216666666666667451e-02
6.150000000000000000e+02,1.270000000000000018e-01,8.749999999999999445e-02
6.200000000000000000e+02,1.219999999999999973e-01,8.266666666666666607e-02
6.250000000000000000e+02,1.170000000000000068e-01,7.766666666666666163e-02
6.300000000000000000e+02,1.130000000000000032e-01,7.383333333333333415e-02
