wavelength,absorbance,subtracted_absorbance
3.000000000000000000e+02,9.320000000000000506e-01,2.751666666666665595e-01
3.050000000000000000e+02,7.540000000000000036e-01,2.401666666666667505e-01
3.100000000000000000e+02,6.550000000000000266e-01,2.026666666666667171e-01
3.150000000000000000e+02,5.869999999999999662e-01,1.733333333333333393e-01
3.200000000000000000e+02,5.230000000000000204e-01,1.476666666666667238e-01
3.250000000000000000e+02,4.699999999999999734e-01,1.265000000000000568e-01
3.300000000000000000e+02,4.259999999999999898e-01,1.096666666666666345e-01
3.350000000000000000e+02,3.840000000000000080e-01,9.583333333333338144e-02
3.400000000000000000e+02,3.469999999999999751e-01,8.183333333333325799e-02
3.450000000000000000e+02,3.200000000000000067e-01,7.100000000000003531e-02
3.500000000000000000e+02,2.989999999999999880e-01,6.083333333333335036e-02
3.550000000000000000e+02,2.810000000000000275e-01,5.300000000000004707e-02
3.600000000000000000e+02,2.580000000000000071e-01,4.466666666666666008e-02
3.650000000000000000e+02,2.270000000000000073e-01,3.766666666666668162e-02
3.700000000000000000e+02,1.680000000000000104e-01,3.083333333333332371e-02
3.750000000000000000e+02,1.140000000000000041e-01,2.600000000000002309e-02
3.800000000000000000e+02,9.099999999999999756e-02,2.216666666666665397e-02
3.850000000000000000e+02,7.900000000000000078e-02,1.916666666666667213e-02
3.900000000000000000e+02,7.199999999999999456e-02,1.649999999999999384e-02
3.950000000000000000e+02,6.700000000000000400e-02,1.416666666666666768e-02
4.000000000000000000e+02,6.300000000000000044e-02,1.216666666666666591e-02
4.050000000000000000e+02,5.999999999999999778e-02,1.083333333333333370e-02
4.100000000000000000e+02,5.800000000000000294e-02,9.833333333333339754e-03
4.150000000000000000e+02,5.500000000000000028e-02,7.833333333333337978e-03
4.200000000000000000e+02,5.299999999999999850e-02,7.000000000000006217e-03
4.250000000000000000e+02,5.099999999999999672e-02,5.500000000000004885e-03
4.300000000000000000e+02,5.000000000000000278e-02,5.500000000000011824e-03
4.350000000000000000e+02,4.800000000000000100e-02,4.333333333333341808e-03
4.400000000000000000e+02,4.700000000000000011e-02,3.833333333333334425e-03
4.450000000000000000e+02,4.599999999999999922e-02,3.666666666666665297e-03
4.500000000000000000e+02,4.399999999999999745e-02,1.999999999999994837e-03
4.550000000000000000e+02,4.299999999999999656e-02,1.499999999999994393e-03
4.600000000000000000e+02,4.299999999999999656e-02,1.999999999999994837e-03
4.650000000000000000e+02,4.200000000000000261e-02,1.666666666666663521e-03
4.700000000000000000e+02,4.100000000000000172e-02,1.000000000000000888e-03
4.750000000000000000e+02,4.000000000000000083e-02,3.333333333333313164e-04
4.800000000000000000e+02,4.000000000000000083e-02,6.666666666666626329e-04
