wavelength,absorbance,subtracted_absorbance
3.000000000000000000e+02,7.049999999999999600e-01,4.816666666666646890e-02
3.050000000000000000e+02,5.590000000000000524e-01,4.516666666666679930e-02
3.100000000000000000e+02,4.899999999999999911e-01,3.766666666666668162e-02
3.150000000000000000e+02,4.470000000000000084e-01,3.333333333333338144e-02
3.200000000000000000e+02,4.020000000000000240e-01,2.666666666666672736e-02
3.250000000000000000e+02,3.639999999999999902e-01,2.050000000000007372e-02
3.300000000000000000e+02,3.320000000000000173e-01,1.566666666666666208e-02
3.350000000000000000e+02,2.989999999999999880e-01,1.083333333333336146e-02
3.400000000000000000e+02,2.710000000000000187e-01,5.833333333333301507e-03
3.450000000000000000e+02,2.510000000000000009e-01,2.000000000000029532e-03
3.500000000000000000e+02,2.369999999999999885e-01,-1.166666666666649199e-03
3.550000000000000000e+02,2.240000000000000047e-01,-3.999999999999975797e-03
3.600000000000000000e+02,2.059999999999999887e-01,-7.333333333333358350e-03
3.650000000000000000e+02,1.809999999999999942e-01,-8.333333333333331483e-03
3.700000000000000000e+02,1.320000000000000062e-01,-5.166666666666680507e-03
3.750000000000000000e+02,8.999999999999999667e-02,2.000000000000015654e-03
3.800000000000000000e+02,7.199999999999999456e-02,3.166666666666650976e-03
3.850000000000000000e+02,6.300000000000000044e-02,3.166666666666671792e-03
3.900000000000000000e+02,5.800000000000000294e-02,2.500000000000002220e-03
3.950000000000000000e+02,5.500000000000000028e-02,2.166666666666663965e-03
4.000000000000000000e+02,5.299999999999999850e-02,2.166666666666663965e-03
4.050000000000000000e+02,5.099999999999999672e-02,1.833333333333332649e-03
4.100000000000000000e+02,4.900000000000000189e-02,8.333333333333386994e-04
4.150000000000000000e+02,4.800000000000000100e-02,8.333333333333386994e-04
4.200000000000000000e+02,4.599999999999999922e-02,6.938893903907228378e-18
4.250000000000000000e+02,4.499999999999999833e-02,-4.999999999999935052e-04
4.300000000000000000e+02,4.399999999999999745e-02,-4.999999999999935052e-04
4.350000000000000000e+02,4.299999999999999656e-02,-6.666666666666626329e-04
4.400000000000000000e+02,4.299999999999999656e-02,-1.666666666666691277e-04
4.450000000000000000e+02,4.200000000000000261e-02,-3.333333333333313164e-04
4.500000000000000000e+02,4.100000000000000172e-02,-1.000000000000000888e-03
4.550000000000000000e+02,4.100000000000000172e-02,-5.000000000000004441e-04
4.600000000000000000e+02,4.000000000000000083e-02,-1.000000000000000888e-03
4.650000000000000000e+02,4.000000000000000083e-02,-3.333333333333382553e-04
4.700000000000000000e+02,3.899999999999999994e-02,-1.000000000000000888e-03
4.750000000000000000e+02,3.899999999999999994e-02,-6.666666666666695718e-04
4.800000000000000000e+02,3.899999999999999994e-02,-3.333333333333382553e-04
4.850000000000000000e+02,3.799999999999999906e-02,-1.166666666666670016e-03
4.900000000000000000e+02,3.799999999999999906e-02,-8.333333333333386994e-04
4.950000000000000000e+02,3.799999999999999906e-02,-6.666666666666695718e-04
5.000000000000000000e+02,3.799999999999999906e-02,-6.666666666666695718e-04
5.050000000000000000e+02,3.799999999999999906e-02,-3.333333333333382553e-04
5.100000000000000000e+02,3.799999999999999906e-02,-3.333333333333382553e-04
5.150000000000000000e+02,3.799999999999999906e-02,-5.000000000000004441e-04
5.200000000000000000e+02,3.699999999999999817e-02,-1.500000000000001332e-03
5.250000000000000000e+02,3.699999999999999817e-02,-1.333333333333339144e-03
5.300000000000000000e+02,3.699999999999999817e-02,-1.500000000000001332e-03
5.350000000000000000e+02,3.699999999999999817e-02,-1.666666666666670460e-03
5.400000000000000000e+02,3.699999999999999817e-02,-1.833333333333339588e-03
5.450000000000000000e+02,3.699999999999999817e-02,-1.833333333333339588e-03
5.500000000000000000e+02,3.699999999999999817e-02,-1.833333333333339588e-03
5.550000000000000000e+02,3.699999999999999817e-02,-2.000000000000001776e-03
5.600000000000000000e+02,3.699999999999999817e-02,-1.833333333333339588e-03
5.650000000000000000e+02,3.699999999999999817e-02,-2.166666666666670904e-03
5.700000000000000000e+02,3.699999999999999817e-02,-2.166666666666670904e-03
5.750000000000000000e+02,3.699999999999999817e-02,-2.166666666666670904e-03
5.800000000000000000e+02,3.699999999999999817e-02,-2.166666666666670904e-03
5.850000000000000000e+02,3.699999999999999817e-02,-2.166666666666670904e-03
5.900000000000000000e+02,3.699999999999999817e-02,-2.666666666666671348e-03
5.950000000000000000e+02,3.699999999999999817e-02,-2.500000000000002220e-03
6.000000000000000000e+02,3.699999999999999817e-02,-2.833333333333340476e-03
6.050000000000000000e+02,3.699999999999999817e-02,-2.833333333333340476e-03
6.100000000000000000e+02,3.699999999999999817e-02,-2.833333333333340476e-03
6.150000000000000000e+02,3.699999999999999817e-02,-2.500000000000002220e-03
6.200000000000000000e+02,3.699999999999999817e-02,-2.333333333333340032e-03
6.250000000000000000e+02,3.599999999999999728e-02,-3.333333333333340920e-03
6.300000000000000000e+02,3.599999999999999728e-02,-3.166666666666671792e-03
6.350000000000000000e+02,3.599999999999999728e-02,-3.166666666666671792e-03
6.400000000000000000e+02,3.599999999999999728e-02,-2.833333333333340476e-03
6.450000000000000000e+02,3.599999999999999728e-02,-2.833333333333340476e-03
6.500000000000000000e+02,3.599999999999999728e-02,-2.666666666666671348e-03
6.550000000000000000e+02,3.599999999999999728e-02,-2.666666666666671348e-03
6.600000000000000000e+02,3.599999999999999728e-02,-2.833333333333340476e-03
6.650000000000000000e+02,3.599999999999999728e-02,-2.666666666666671348e-03
6.700000000000000000e+02,3.599999999999999728e-02,-2.500000000000002220e-03
6.750000000000000000e+02,3.599999999999999728e-02,-2.500000000000002220e-03
6.800000000000000000e+02,3.599999999999999728e-02,-2.333333333333340032e-03
6.850000000000000000e+02,3.599999999999999728e-02,-2.333333333333340032e-03
6.900000000000000000e+02,3.599999999999999728e-02,-2.166666666666670904e-03
6.950000000000000000e+02,3.599999999999999728e-02,-2.333333333333340032e-03
7.000000000000000000e+02,3.599999999999999728e-02,-2.500000000000002220e-03
7.050000000000000000e+02,3.599999999999999728e-02,-3.333333333333340920e-03
7.100000000000000000e+02,3.699999999999999817e-02,-3.666666666666665297e-03
7.150000000000000000e+02,3.799999999999999906e-02,-3.666666666666665297e-03
7.200000000000000000e+02,3.899999999999999994e-02,-2.833333333333333537e-03
7.250000000000000000e+02,4.000000000000000083e-02,-2.666666666666664409e-03
7.300000000000000000e+02,4.200000000000000261e-02,-2.499999999999988343e-03
7.350000000000000000e+02,4.299999999999999656e-02,-3.499999999999996170e-03
7.400000000000000000e+02,4.399999999999999745e-02,-2.999999999999995726e-03
7.450000000000000000e+02,4.499999999999999833e-02,-2.166666666666663965e-03
7.500000000000000000e+02,4.499999999999999833e-02,-2.166666666666663965e-03
7.550000000000000000e+02,4.499999999999999833e-02,-2.166666666666663965e-03
7.600000000000000000e+02,4.499999999999999833e-02,-2.166666666666663965e-03
7.650000000000000000e+02,4.499999999999999833e-02,-1.833333333333332649e-03
7.700000000000000000e+02,4.499999999999999833e-02,-1.499999999999994393e-03
7.750000000000000000e+02,4.399999999999999745e-02,-2.166666666666663965e-03
7.800000000000000000e+02,4.399999999999999745e-02,-1.499999999999994393e-03
7.850000000000000000e+02,4.299999999999999656e-02,-2.166666666666663965e-03
7.900000000000000000e+02,4.299999999999999656e-02,-1.333333333333332205e-03
