wavelength,absorbance,subtracted_absorbance
3.000000000000000000e+02,1.417000000000000037e+00,7.601666666666665462e-01
3.050000000000000000e+02,1.250000000000000000e+00,7.361666666666667469e-01
3.100000000000000000e+02,1.163000000000000034e+00,7.106666666666667798e-01
3.150000000000000000e+02,1.098999999999999977e+00,6.853333333333333499e-01
3.200000000000000000e+02,1.034999999999999920e+00,6.596666666666666234e-01
3.250000000000000000e+02,9.779999999999999805e-01,6.345000000000000639e-01
3.300000000000000000e+02,9.260000000000000453e-01,6.096666666666666901e-01
3.350000000000000000e+02,8.739999999999999991e-01,5.858333333333334281e-01
3.400000000000000000e+02,8.309999999999999609e-01,5.658333333333331883e-01
3.450000000000000000e+02,7.980000000000000426e-01,5.490000000000000435e-01
3.500000000000000000e+02,7.740000000000000213e-01,5.358333333333333837e-01
3.550000000000000000e+02,7.530000000000000027e-01,5.250000000000000222e-01
3.600000000000000000e+02,7.289999999999999813e-01,5.156666666666666066e-01
3.650000000000000000e+02,6.969999999999999529e-01,5.076666666666665995e-01
3.700000000000000000e+02,6.360000000000000098e-01,4.988333333333333508e-01
3.750000000000000000e+02,5.819999999999999618e-01,4.939999999999999947e-01
3.800000000000000000e+02,5.560000000000000497e-01,4.871666666666666923e-01
3.850000000000000000e+02,5.400000000000000355e-01,4.801666666666666861e-01
3.900000000000000000e+02,5.280000000000000249e-01,4.725000000000000311e-01
3.950000000000000000e+02,5.190000000000000169e-01,4.661666666666666736e-01
4.000000000000000000e+02,5.110000000000000098e-01,4.601666666666666683e-01
4.050000000000000000e+02,5.030000000000000027e-01,4.538333333333333108e-01
4.100000000000000000e+02,4.959999999999999964e-01,4.478333333333333055e-01
4.150000000000000000e+02,4.899999999999999911e-01,4.428333333333333011e-01
4.200000000000000000e+02,4.849999999999999867e-01,4.390000000000000013e-01
4.250000000000000000e+02,4.809999999999999831e-01,4.354999999999999982e-01
4.300000000000000000e+02,4.769999999999999796e-01,4.324999999999999956e-01
4.350000000000000000e+02,4.739999999999999769e-01,4.303333333333333455e-01
4.400000000000000000e+02,4.709999999999999742e-01,4.278333333333332877e-01
4.450000000000000000e+02,4.699999999999999734e-01,4.276666666666666394e-01
4.500000000000000000e+02,4.699999999999999734e-01,4.279999999999999916e-01
4.550000000000000000e+02,4.709999999999999742e-01,4.294999999999999929e-01
4.600000000000000000e+02,4.729999999999999760e-01,4.319999999999999951e-01
4.650000000000000000e+02,4.779999999999999805e-01,4.376666666666666483e-01
4.700000000000000000e+02,4.839999999999999858e-01,4.440000000000000058e-01
4.750000000000000000e+02,4.939999999999999947e-01,4.543333333333333113e-01
4.800000000000000000e+02,5.070000000000000062e-01,4.676666666666666750e-01
4.850000000000000000e+02,5.220000000000000195e-01,4.828333333333333366e-01
4.900000000000000000e+02,5.440000000000000391e-01,5.051666666666666528e-01
4.950000000000000000e+02,5.679999999999999494e-01,5.293333333333333224e-01
5.000000000000000000e+02,5.949999999999999734e-01,5.563333333333333464e-01
5.050000000000000000e+02,6.250000000000000000e-01,5.866666666666666696e-01
5.100000000000000000e+02,6.540000000000000258e-01,6.156666666666666954e-01
5.150000000000000000e+02,6.790000000000000480e-01,6.405000000000000693e-01
5.200000000000000000e+02,6.989999999999999547e-01,6.604999999999999760e-01
5.250000000000000000e+02,7.109999999999999654e-01,6.726666666666666350e-01
5.300000000000000000e+02,7.139999999999999680e-01,6.754999999999999893e-01
5.350000000000000000e+02,7.089999999999999636e-01,6.703333333333333366e-01
5.400000000000000000e+02,6.949999999999999512e-01,6.561666666666665648e-01
5.450000000000000000e+02,6.740000000000000435e-01,6.351666666666666572e-01
5.500000000000000000e+02,6.470000000000000195e-01,6.081666666666666332e-01
5.550000000000000000e+02,6.149999999999999911e-01,5.759999999999999565e-01
5.600000000000000000e+02,5.799999999999999600e-01,5.411666666666665737e-01
5.650000000000000000e+02,5.450000000000000400e-01,5.058333333333333570e-01
5.700000000000000000e+02,5.100000000000000089e-01,4.708333333333333259e-01
5.750000000000000000e+02,4.769999999999999796e-01,4.378333333333332966e-01
5.800000000000000000e+02,4.460000000000000075e-01,4.068333333333333246e-01
5.850000000000000000e+02,4.169999999999999818e-01,3.778333333333332988e-01
5.900000000000000000e+02,3.890000000000000124e-01,3.493333333333333290e-01
5.950000000000000000e+02,3.649999999999999911e-01,3.255000000000000115e-01
6.000000000000000000e+02,3.420000000000000262e-01,3.021666666666666945e-01
6.050000000000000000e+02,3.210000000000000075e-01,2.811666666666666758e-01
6.100000000000000000e+02,3.009999999999999898e-01,2.611666666666666581e-01
6.150000000000000000e+02,2.829999999999999738e-01,2.434999999999999665e-01
6.200000000000000000e+02,2.660000000000000142e-01,2.266666666666666829e-01
6.250000000000000000e+02,2.500000000000000000e-01,2.106666666666666687e-01
6.300000000000000000e+02,2.369999999999999885e-01,1.978333333333333055e-01
6.350000000000000000e+02,2.240000000000000047e-01,1.848333333333333495e-01
6.400000000000000000e+02,2.119999999999999940e-01,1.731666666666666632e-01
6.450000000000000000e+02,2.010000000000000120e-01,1.621666666666666812e-01
6.500000000000000000e+02,1.910000000000000031e-01,1.523333333333333206e-01
6.550000000000000000e+02,1.819999999999999951e-01,1.433333333333333126e-01
6.600000000000000000e+02,1.729999999999999871e-01,1.341666666666666563e-01
6.650000000000000000e+02,1.650000000000000078e-01,1.263333333333333530e-01
6.700000000000000000e+02,1.570000000000000007e-01,1.184999999999999942e-01
6.750000000000000000e+02,1.499999999999999944e-01,1.114999999999999880e-01
6.800000000000000000e+02,1.429999999999999882e-01,1.046666666666666579e-01
6.850000000000000000e+02,1.370000000000000107e-01,9.866666666666668029e-02
6.900000000000000000e+02,1.320000000000000062e-01,9.383333333333333803e-02
6.950000000000000000e+02,1.260000000000000009e-01,8.766666666666667052e-02
7.000000000000000000e+02,1.219999999999999973e-01,8.349999999999999090e-02
7.050000000000000000e+02,1.170000000000000068e-01,7.766666666666666163e-02
7.100000000000000000e+02,1.140000000000000041e-01,7.333333333333333370e-02
7.150000000000000000e+02,1.110000000000000014e-01,6.933333333333333015e-02
7.200000000000000000e+02,1.069999999999999979e-01,6.516666666666666441e-02
7.250000000000000000e+02,1.049999999999999961e-01,6.233333333333333087e-02
7.300000000000000000e+02,1.029999999999999943e-01,5.850000000000000339e-02
7.350000000000000000e+02,1.019999999999999934e-01,5.550000000000000072e-02
7.400000000000000000e+02,1.000000000000000056e-01,5.300000000000001238e-02
7.450000000000000000e+02,9.700000000000000289e-02,4.983333333333334059e-02
7.500000000000000000e+02,9.500000000000000111e-02,4.783333333333333881e-02
7.550000000000000000e+02,9.199999999999999845e-02,4.483333333333333615e-02
7.600000000000000000e+02,8.999999999999999667e-02,4.283333333333333437e-02
7.650000000000000000e+02,8.699999999999999400e-02,4.016666666666666302e-02
7.700000000000000000e+02,8.500000000000000611e-02,3.850000000000001338e-02
7.750000000000000000e+02,8.300000000000000433e-02,3.683333333333334292e-02
7.800000000000000000e+02,8.000000000000000167e-02,3.450000000000000983e-02
7.850000000000000000e+02,7.799999999999999989e-02,3.283333333333333937e-02
7.900000000000000000e+02,7.599999999999999811e-02,3.166666666666666935e-02
7.950000000000000000e+02,7.399999999999999634e-02,3.000000000000000583e-02
8.000000000000000000e+02,7.199999999999999456e-02,2.883333333333332887e-02
8.050000000000000000e+02,7.000000000000000666e-02,2.683333333333334098e-02
8.100000000000000000e+02,6.900000000000000577e-02,2.600000000000000228e-02
8.150000000000000000e+02,6.800000000000000488e-02,2.483333333333333920e-02
8.200000000000000000e+02,6.700000000000000400e-02,2.316666666666667568e-02
8.250000000000000000e+02,6.800000000000000488e-02,2.333333333333334481e-02
8.300000000000000000e+02,6.900000000000000577e-02,2.200000000000001260e-02
8.350000000000000000e+02,7.000000000000000666e-02,2.066666666666667346e-02
8.400000000000000000e+02,7.000000000000000666e-02,2.016666666666667301e-02
8.450000000000000000e+02,7.000000000000000666e-02,1.933333333333334125e-02
8.500000000000000000e+02,7.000000000000000666e-02,1.850000000000000949e-02
8.550000000000000000e+02,7.000000000000000666e-02,1.800000000000000905e-02
8.600000000000000000e+02,7.000000000000000666e-02,1.650000000000000772e-02
8.650000000000000000e+02,7.199999999999999456e-02,1.649999999999999384e-02
8.700000000000000000e+02,7.399999999999999634e-02,1.549999999999999989e-02
8.750000000000000000e+02,7.699999999999999900e-02,1.583333333333333121e-02
8.800000000000000000e+02,7.499999999999999722e-02,1.466666666666666813e-02
8.850000000000000000e+02,7.399999999999999634e-02,1.449999999999999900e-02
8.900000000000000000e+02,7.299999999999999545e-02,1.383333333333332943e-02
8.950000000000000000e+02,7.299999999999999545e-02,1.299999999999999767e-02
9.000000000000000000e+02,7.399999999999999634e-02,1.283333333333332854e-02
9.050000000000000000e+02,7.499999999999999722e-02,1.233333333333333504e-02
9.100000000000000000e+02,7.699999999999999900e-02,1.183333333333333459e-02
9.150000000000000000e+02,8.000000000000000167e-02,1.183333333333333459e-02
9.200000000000000000e+02,8.300000000000000433e-02,1.116666666666667196e-02
9.250000000000000000e+02,8.899999999999999578e-02,9.999999999999995004e-03
9.300000000000000000e+02,9.800000000000000377e-02,9.666666666666684504e-03
9.350000000000000000e+02,1.100000000000000006e-01,9.000000000000007994e-03
9.400000000000000000e+02,1.219999999999999973e-01,8.166666666666655416e-03
9.450000000000000000e+02,1.409999999999999865e-01,7.833333333333303283e-03
9.500000000000000000e+02,1.660000000000000087e-01,6.166666666666653640e-03
9.550000000000000000e+02,1.980000000000000093e-01,5.833333333333329263e-03
9.600000000000000000e+02,2.240000000000000047e-01,4.833333333333356130e-03
9.650000000000000000e+02,2.340000000000000135e-01,4.000000000000003553e-03
9.700000000000000000e+02,2.379999999999999893e-01,3.000000000000002665e-03
9.750000000000000000e+02,2.409999999999999920e-01,3.333333333333327042e-03
9.800000000000000000e+02,2.409999999999999920e-01,4.000000000000031308e-03
9.850000000000000000e+02,2.359999999999999876e-01,3.166666666666650976e-03
9.900000000000000000e+02,2.280000000000000082e-01,3.833333333333299731e-03
9.950000000000000000e+02,2.240000000000000047e-01,4.166666666666679619e-03
