wavelength,absorbance,subtracted_absorbance
3.000000000000000000e+02,1.274000000000000021e+00,6.171666666666665302e-01
3.050000000000000000e+02,1.098999999999999977e+00,5.851666666666667238e-01
3.100000000000000000e+02,1.006000000000000005e+00,5.536666666666667513e-01
3.150000000000000000e+02,9.360000000000000542e-01,5.223333333333334272e-01
3.200000000000000000e+02,8.639999999999999902e-01,4.886666666666666936e-01
3.250000000000000000e+02,8.000000000000000444e-01,4.565000000000001279e-01
3.300000000000000000e+02,7.399999999999999911e-01,4.236666666666666359e-01
3.350000000000000000e+02,6.800000000000000488e-01,3.918333333333334223e-01
3.400000000000000000e+02,6.260000000000000009e-01,3.608333333333332837e-01
3.450000000000000000e+02,5.789999999999999591e-01,3.299999999999999600e-01
3.500000000000000000e+02,5.410000000000000364e-01,3.028333333333333988e-01
3.550000000000000000e+02,5.040000000000000036e-01,2.760000000000000231e-01
3.600000000000000000e+02,4.650000000000000244e-01,2.516666666666667052e-01
3.650000000000000000e+02,4.179999999999999827e-01,2.286666666666666570e-01
3.700000000000000000e+02,3.439999999999999725e-01,2.068333333333332857e-01
3.750000000000000000e+02,2.750000000000000222e-01,1.870000000000000551e-01
3.800000000000000000e+02,2.389999999999999902e-01,1.701666666666666328e-01
3.850000000000000000e+02,2.129999999999999949e-01,1.531666666666666732e-01
3.900000000000000000e+02,1.950000000000000067e-01,1.395000000000000129e-01
3.950000000000000000e+02,1.789999999999999925e-01,1.261666666666666492e-01
4.000000000000000000e+02,1.640000000000000069e-01,1.131666666666666654e-01
4.050000000000000000e+02,1.519999999999999962e-01,1.028333333333333321e-01
4.100000000000000000e+02,1.409999999999999865e-01,9.283333333333332327e-02
4.150000000000000000e+02,1.310000000000000053e-01,8.383333333333334303e-02
4.200000000000000000e+02,1.219999999999999973e-01,7.600000000000001199e-02
4.250000000000000000e+02,1.150000000000000050e-01,6.950000000000000622e-02
4.300000000000000000e+02,1.089999999999999997e-01,6.450000000000000178e-02
4.350000000000000000e+02,1.019999999999999934e-01,5.833333333333333426e-02
4.400000000000000000e+02,9.700000000000000289e-02,5.383333333333333720e-02
4.450000000000000000e+02,9.199999999999999845e-02,4.966666666666666452e-02
