wavelength,absorbance,subtracted_absorbance
3.000000000000000000e+02,8.229999999999999538e-01,1.661666666666664627e-01
3.050000000000000000e+02,6.710000000000000409e-01,1.571666666666667878e-01
3.100000000000000000e+02,5.939999999999999725e-01,1.416666666666666630e-01
3.150000000000000000e+02,5.440000000000000391e-01,1.303333333333334121e-01
3.200000000000000000e+02,4.939999999999999947e-01,1.186666666666666980e-01
3.250000000000000000e+02,4.540000000000000147e-01,1.105000000000000981e-01
3.300000000000000000e+02,4.199999999999999845e-01,1.036666666666666292e-01
3.350000000000000000e+02,3.860000000000000098e-01,9.783333333333338322e-02
3.400000000000000000e+02,3.569999999999999840e-01,9.183333333333326687e-02
3.450000000000000000e+02,3.360000000000000209e-01,8.700000000000004952e-02
3.500000000000000000e+02,3.210000000000000075e-01,8.283333333333336990e-02
3.550000000000000000e+02,3.069999999999999951e-01,7.900000000000001465e-02
3.600000000000000000e+02,2.889999999999999791e-01,7.566666666666663210e-02
3.650000000000000000e+02,2.610000000000000098e-01,7.166666666666668406e-02
3.700000000000000000e+02,1.980000000000000093e-01,6.083333333333332260e-02
3.750000000000000000e+02,1.409999999999999865e-01,5.300000000000000544e-02
3.800000000000000000e+02,1.179999999999999938e-01,4.916666666666665020e-02
3.850000000000000000e+02,1.069999999999999979e-01,4.716666666666666924e-02
3.900000000000000000e+02,1.010000000000000064e-01,4.550000000000000572e-02
3.950000000000000000e+02,9.700000000000000289e-02,4.416666666666666657e-02
4.000000000000000000e+02,9.299999999999999933e-02,4.216666666666666480e-02
4.050000000000000000e+02,8.999999999999999667e-02,4.083333333333333259e-02
4.100000000000000000e+02,8.799999999999999489e-02,3.983333333333333171e-02
4.150000000000000000e+02,8.599999999999999312e-02,3.883333333333333082e-02
4.200000000000000000e+02,8.400000000000000522e-02,3.800000000000001293e-02
4.250000000000000000e+02,8.300000000000000433e-02,3.750000000000001249e-02
4.300000000000000000e+02,8.100000000000000255e-02,3.650000000000001160e-02
4.350000000000000000e+02,8.000000000000000167e-02,3.633333333333334247e-02
