wavelength,absorbance,subtracted_absorbance
3.000000000000000000e+02,8.539999999999999813e-01,1.971666666666664902e-01
3.050000000000000000e+02,7.139999999999999680e-01,2.001666666666667149e-01
3.100000000000000000e+02,6.500000000000000222e-01,1.976666666666667127e-01
3.150000000000000000e+02,6.089999999999999858e-01,1.953333333333333588e-01
3.200000000000000000e+02,5.639999999999999458e-01,1.886666666666666492e-01
3.250000000000000000e+02,5.280000000000000249e-01,1.845000000000001084e-01
3.300000000000000000e+02,4.969999999999999973e-01,1.806666666666666421e-01
3.350000000000000000e+02,4.660000000000000253e-01,1.778333333333333988e-01
3.400000000000000000e+02,4.400000000000000022e-01,1.748333333333332851e-01
3.450000000000000000e+02,4.219999999999999862e-01,1.730000000000000149e-01
3.500000000000000000e+02,4.109999999999999765e-01,1.728333333333333388e-01
3.550000000000000000e+02,4.020000000000000240e-01,1.740000000000000435e-01
3.600000000000000000e+02,3.870000000000000107e-01,1.736666666666666636e-01
3.650000000000000000e+02,3.569999999999999840e-01,1.676666666666666583e-01
3.700000000000000000e+02,2.849999999999999756e-01,1.478333333333332889e-01
3.750000000000000000e+02,2.129999999999999949e-01,1.250000000000000000e-01
3.800000000000000000e+02,1.859999999999999987e-01,1.171666666666666551e-01
3.850000000000000000e+02,1.739999999999999880e-01,1.141666666666666663e-01
3.900000000000000000e+02,1.680000000000000104e-01,1.125000000000000167e-01
3.950000000000000000e+02,1.630000000000000060e-01,1.101666666666666627e-01
4.000000000000000000e+02,1.600000000000000033e-01,1.091666666666666619e-01
4.050000000000000000e+02,1.570000000000000007e-01,1.078333333333333366e-01
4.100000000000000000e+02,1.539999999999999980e-01,1.058333333333333348e-01
4.150000000000000000e+02,1.519999999999999962e-01,1.048333333333333339e-01
4.200000000000000000e+02,1.499999999999999944e-01,1.040000000000000091e-01
4.250000000000000000e+02,1.479999999999999927e-01,1.025000000000000078e-01
4.300000000000000000e+02,1.469999999999999918e-01,1.025000000000000078e-01
4.350000000000000000e+02,1.449999999999999900e-01,1.013333333333333308e-01
4.400000000000000000e+02,1.439999999999999891e-01,1.008333333333333304e-01
4.450000000000000000e+02,1.429999999999999882e-01,1.006666666666666543e-01
4.500000000000000000e+02,1.429999999999999882e-01,1.009999999999999787e-01
4.550000000000000000e+02,1.429999999999999882e-01,1.014999999999999791e-01
4.600000000000000000e+02,1.429999999999999882e-01,1.019999999999999796e-01
4.650000000000000000e+02,1.439999999999999891e-01,1.036666666666666570e-01
4.700000000000000000e+02,1.449999999999999900e-01,1.049999999999999822e-01
4.750000000000000000e+02,1.469999999999999918e-01,1.073333333333333223e-01
4.800000000000000000e+02,1.509999999999999953e-01,1.116666666666666641e-01
4.850000000000000000e+02,1.549999999999999989e-01,1.158333333333333298e-01
4.900000000000000000e+02,1.610000000000000042e-01,1.221666666666666734e-01
