wavelength,absorbance,subtracted_absorbance
3.000000000000000000e+02,8.359999999999999654e-01,1.791666666666664742e-01
3.050000000000000000e+02,6.909999999999999476e-01,1.771666666666666945e-01
3.100000000000000000e+02,6.199999999999999956e-01,1.676666666666666861e-01
3.150000000000000000e+02,5.709999999999999520e-01,1.573333333333333250e-01
3.200000000000000000e+02,5.230000000000000204e-01,1.476666666666667238e-01
3.250000000000000000e+02,4.829999999999999849e-01,1.395000000000000684e-01
3.300000000000000000e+02,4.480000000000000093e-01,1.316666666666666541e-01
3.350000000000000000e+02,4.139999999999999791e-01,1.258333333333333526e-01
3.400000000000000000e+02,3.850000000000000089e-01,1.198333333333332917e-01
3.450000000000000000e+02,3.639999999999999902e-01,1.150000000000000189e-01
3.500000000000000000e+02,3.479999999999999760e-01,1.098333333333333384e-01
3.550000000000000000e+02,3.350000000000000200e-01,1.070000000000000395e-01
3.600000000000000000e+02,3.160000000000000031e-01,1.026666666666666561e-01
3.650000000000000000e+02,2.879999999999999782e-01,9.866666666666665253e-02
3.700000000000000000e+02,2.349999999999999867e-01,9.783333333333329995e-02
3.750000000000000000e+02,1.859999999999999987e-01,9.800000000000001765e-02
3.800000000000000000e+02,1.650000000000000078e-01,9.616666666666666419e-02
3.850000000000000000e+02,1.529999999999999971e-01,9.316666666666667540e-02
3.900000000000000000e+02,1.459999999999999909e-01,9.049999999999999711e-02
3.950000000000000000e+02,1.409999999999999865e-01,8.816666666666664320e-02
4.000000000000000000e+02,1.360000000000000098e-01,8.516666666666666829e-02
4.050000000000000000e+02,1.320000000000000062e-01,8.283333333333334214e-02
4.100000000000000000e+02,1.290000000000000036e-01,8.083333333333334036e-02
4.150000000000000000e+02,1.260000000000000009e-01,7.883333333333333859e-02
4.200000000000000000e+02,1.229999999999999982e-01,7.700000000000001288e-02
4.250000000000000000e+02,1.199999999999999956e-01,7.450000000000001066e-02
4.300000000000000000e+02,1.170000000000000068e-01,7.250000000000000888e-02
4.350000000000000000e+02,1.150000000000000050e-01,7.133333333333334580e-02
4.400000000000000000e+02,1.130000000000000032e-01,6.983333333333333059e-02
4.450000000000000000e+02,1.110000000000000014e-01,6.866666666666666752e-02
4.500000000000000000e+02,1.100000000000000006e-01,6.800000000000000488e-02
4.550000000000000000e+02,1.089999999999999997e-01,6.750000000000000444e-02
4.600000000000000000e+02,1.089999999999999997e-01,6.800000000000000488e-02
4.650000000000000000e+02,1.089999999999999997e-01,6.866666666666665364e-02
4.700000000000000000e+02,1.089999999999999997e-01,6.900000000000000577e-02
4.750000000000000000e+02,1.100000000000000006e-01,7.033333333333333104e-02
4.800000000000000000e+02,1.110000000000000014e-01,7.166666666666665630e-02
4.850000000000000000e+02,1.120000000000000023e-01,7.283333333333333326e-02
4.900000000000000000e+02,1.140000000000000041e-01,7.516666666666665941e-02
4.950000000000000000e+02,1.160000000000000059e-01,7.733333333333333726e-02
5.000000000000000000e+02,1.179999999999999938e-01,7.933333333333332515e-02
5.050000000000000000e+02,1.209999999999999964e-01,8.266666666666666607e-02
5.100000000000000000e+02,1.239999999999999991e-01,8.566666666666666874e-02
5.150000000000000000e+02,1.270000000000000018e-01,8.849999999999999534e-02
5.200000000000000000e+02,1.290000000000000036e-01,9.049999999999999711e-02
