wavelength,absorbance,subtracted_absorbance
3.000000000000000000e+02,7.109999999999999654e-01,5.416666666666647423e-02
3.050000000000000000e+02,5.719999999999999529e-01,5.816666666666669983e-02
3.100000000000000000e+02,5.080000000000000071e-01,5.566666666666669760e-02
3.150000000000000000e+02,4.660000000000000253e-01,5.233333333333339832e-02
3.200000000000000000e+02,4.239999999999999880e-01,4.866666666666669139e-02
3.250000000000000000e+02,3.890000000000000124e-01,4.550000000000009592e-02
3.300000000000000000e+02,3.579999999999999849e-01,4.166666666666662966e-02
3.350000000000000000e+02,3.270000000000000129e-01,3.883333333333338633e-02
3.400000000000000000e+02,3.009999999999999898e-01,3.583333333333327264e-02
3.450000000000000000e+02,2.829999999999999738e-01,3.400000000000000244e-02
3.500000000000000000e+02,2.700000000000000178e-01,3.183333333333338011e-02
3.550000000000000000e+02,2.590000000000000080e-01,3.100000000000002753e-02
3.600000000000000000e+02,2.419999999999999929e-01,2.866666666666664587e-02
3.650000000000000000e+02,2.149999999999999967e-01,2.566666666666667096e-02
3.700000000000000000e+02,1.580000000000000016e-01,2.083333333333331483e-02
3.750000000000000000e+02,1.039999999999999952e-01,1.600000000000001421e-02
3.800000000000000000e+02,8.300000000000000433e-02,1.416666666666666075e-02
3.850000000000000000e+02,7.199999999999999456e-02,1.216666666666666591e-02
3.900000000000000000e+02,6.700000000000000400e-02,1.150000000000000328e-02
3.950000000000000000e+02,6.400000000000000133e-02,1.116666666666666502e-02
4.000000000000000000e+02,5.999999999999999778e-02,9.166666666666663243e-03
4.050000000000000000e+02,5.800000000000000294e-02,8.833333333333338866e-03
4.100000000000000000e+02,5.600000000000000117e-02,7.833333333333337978e-03
4.150000000000000000e+02,5.399999999999999939e-02,6.833333333333337090e-03
4.200000000000000000e+02,5.199999999999999761e-02,6.000000000000005329e-03
4.250000000000000000e+02,5.099999999999999672e-02,5.500000000000004885e-03
4.300000000000000000e+02,5.000000000000000278e-02,5.500000000000011824e-03
4.350000000000000000e+02,4.800000000000000100e-02,4.333333333333341808e-03
4.400000000000000000e+02,4.800000000000000100e-02,4.833333333333335313e-03
4.450000000000000000e+02,4.700000000000000011e-02,4.666666666666666186e-03
4.500000000000000000e+02,4.599999999999999922e-02,3.999999999999996614e-03
4.550000000000000000e+02,4.599999999999999922e-02,4.499999999999997058e-03
4.600000000000000000e+02,4.499999999999999833e-02,3.999999999999996614e-03
4.650000000000000000e+02,4.499999999999999833e-02,4.666666666666659247e-03
4.700000000000000000e+02,4.399999999999999745e-02,3.999999999999996614e-03
4.750000000000000000e+02,4.399999999999999745e-02,4.333333333333327930e-03
4.800000000000000000e+02,4.299999999999999656e-02,3.666666666666658358e-03
4.850000000000000000e+02,4.299999999999999656e-02,3.833333333333327486e-03
4.900000000000000000e+02,4.200000000000000261e-02,3.166666666666664853e-03
4.950000000000000000e+02,4.200000000000000261e-02,3.333333333333333981e-03
5.000000000000000000e+02,4.100000000000000172e-02,2.333333333333333093e-03
5.050000000000000000e+02,4.100000000000000172e-02,2.666666666666664409e-03
5.100000000000000000e+02,4.100000000000000172e-02,2.666666666666664409e-03
5.150000000000000000e+02,4.100000000000000172e-02,2.500000000000002220e-03
5.200000000000000000e+02,4.000000000000000083e-02,1.500000000000001332e-03
