wavelength,absorbance,subtracted_absorbance
3.000000000000000000e+02,1.366000000000000103e+00,7.091666666666666119e-01
3.050000000000000000e+02,1.211999999999999966e+00,6.981666666666667131e-01
3.100000000000000000e+02,1.131000000000000005e+00,6.786666666666667513e-01
3.150000000000000000e+02,1.072000000000000064e+00,6.583333333333334370e-01
3.200000000000000000e+02,1.012000000000000011e+00,6.366666666666667140e-01
3.250000000000000000e+02,9.589999999999999636e-01,6.155000000000000471e-01
3.300000000000000000e+02,9.100000000000000311e-01,5.936666666666666758e-01
3.350000000000000000e+02,8.619999999999999885e-01,5.738333333333334174e-01
3.400000000000000000e+02,8.189999999999999503e-01,5.538333333333331776e-01
3.450000000000000000e+02,7.840000000000000302e-01,5.350000000000000311e-01
3.500000000000000000e+02,7.580000000000000071e-01,5.198333333333333695e-01
3.550000000000000000e+02,7.329999999999999849e-01,5.050000000000000044e-01
3.600000000000000000e+02,7.039999999999999591e-01,4.906666666666665844e-01
3.650000000000000000e+02,6.650000000000000355e-01,4.756666666666666821e-01
3.700000000000000000e+02,5.909999999999999698e-01,4.538333333333333108e-01
3.750000000000000000e+02,5.180000000000000160e-01,4.300000000000000488e-01
3.800000000000000000e+02,4.839999999999999858e-01,4.151666666666666283e-01
3.850000000000000000e+02,4.630000000000000226e-01,4.031666666666666732e-01
3.900000000000000000e+02,4.480000000000000093e-01,3.925000000000000155e-01
3.950000000000000000e+02,4.359999999999999987e-01,3.831666666666666554e-01
4.000000000000000000e+02,4.239999999999999880e-01,3.731666666666666465e-01
4.050000000000000000e+02,4.129999999999999782e-01,3.638333333333333419e-01
4.100000000000000000e+02,4.040000000000000258e-01,3.558333333333333348e-01
4.150000000000000000e+02,3.950000000000000178e-01,3.478333333333333277e-01
4.200000000000000000e+02,3.870000000000000107e-01,3.410000000000000253e-01
4.250000000000000000e+02,3.800000000000000044e-01,3.345000000000000195e-01
4.300000000000000000e+02,3.729999999999999982e-01,3.285000000000000142e-01
4.350000000000000000e+02,3.669999999999999929e-01,3.233333333333333615e-01
4.400000000000000000e+02,3.619999999999999885e-01,3.188333333333333020e-01
4.450000000000000000e+02,3.579999999999999849e-01,3.156666666666666510e-01
4.500000000000000000e+02,3.539999999999999813e-01,3.119999999999999996e-01
4.550000000000000000e+02,3.519999999999999796e-01,3.104999999999999982e-01
4.600000000000000000e+02,3.499999999999999778e-01,3.089999999999999969e-01
4.650000000000000000e+02,3.489999999999999769e-01,3.086666666666666448e-01
4.700000000000000000e+02,3.499999999999999778e-01,3.099999999999999978e-01
4.750000000000000000e+02,3.519999999999999796e-01,3.123333333333332962e-01
4.800000000000000000e+02,3.559999999999999831e-01,3.166666666666666519e-01
4.850000000000000000e+02,3.619999999999999885e-01,3.228333333333333055e-01
4.900000000000000000e+02,3.699999999999999956e-01,3.311666666666666647e-01
4.950000000000000000e+02,3.800000000000000044e-01,3.413333333333333219e-01
5.000000000000000000e+02,3.930000000000000160e-01,3.543333333333333335e-01
5.050000000000000000e+02,4.069999999999999729e-01,3.686666666666666425e-01
5.100000000000000000e+02,4.229999999999999871e-01,3.846666666666666567e-01
5.150000000000000000e+02,4.390000000000000013e-01,4.005000000000000226e-01
5.200000000000000000e+02,4.530000000000000138e-01,4.145000000000000351e-01
5.250000000000000000e+02,4.680000000000000271e-01,4.296666666666666967e-01
5.300000000000000000e+02,4.779999999999999805e-01,4.395000000000000018e-01
5.350000000000000000e+02,4.879999999999999893e-01,4.493333333333333068e-01
5.400000000000000000e+02,4.949999999999999956e-01,4.561666666666666647e-01
5.450000000000000000e+02,4.979999999999999982e-01,4.591666666666666674e-01
5.500000000000000000e+02,4.989999999999999991e-01,4.601666666666666683e-01
5.550000000000000000e+02,4.969999999999999973e-01,4.580000000000000182e-01
5.600000000000000000e+02,4.919999999999999929e-01,4.531666666666666621e-01
5.650000000000000000e+02,4.849999999999999867e-01,4.458333333333333037e-01
5.700000000000000000e+02,4.749999999999999778e-01,4.358333333333332948e-01
5.750000000000000000e+02,4.640000000000000235e-01,4.248333333333333406e-01
5.800000000000000000e+02,4.520000000000000129e-01,4.128333333333333299e-01
5.850000000000000000e+02,4.390000000000000013e-01,3.998333333333333184e-01
5.900000000000000000e+02,4.259999999999999898e-01,3.863333333333333064e-01
5.950000000000000000e+02,4.139999999999999791e-01,3.744999999999999996e-01
6.000000000000000000e+02,4.030000000000000249e-01,3.631666666666666932e-01
6.050000000000000000e+02,3.910000000000000142e-01,3.511666666666666825e-01
6.100000000000000000e+02,3.810000000000000053e-01,3.411666666666666736e-01
6.150000000000000000e+02,3.699999999999999956e-01,3.305000000000000160e-01
6.200000000000000000e+02,3.609999999999999876e-01,3.216666666666666563e-01
6.250000000000000000e+02,3.509999999999999787e-01,3.116666666666666474e-01
6.300000000000000000e+02,3.430000000000000271e-01,3.038333333333333441e-01
6.350000000000000000e+02,3.350000000000000200e-01,2.958333333333333370e-01
6.400000000000000000e+02,3.260000000000000120e-01,2.871666666666666812e-01
6.450000000000000000e+02,3.180000000000000049e-01,2.791666666666666741e-01
6.500000000000000000e+02,3.099999999999999978e-01,2.713333333333333153e-01
6.550000000000000000e+02,3.009999999999999898e-01,2.623333333333333073e-01
6.600000000000000000e+02,2.929999999999999827e-01,2.541666666666666519e-01
6.650000000000000000e+02,2.839999999999999747e-01,2.453333333333332922e-01
6.700000000000000000e+02,2.740000000000000213e-01,2.355000000000000149e-01
6.750000000000000000e+02,2.650000000000000133e-01,2.265000000000000069e-01
6.800000000000000000e+02,2.560000000000000053e-01,2.176666666666666750e-01
6.850000000000000000e+02,2.459999999999999964e-01,2.076666666666666661e-01
6.900000000000000000e+02,2.369999999999999885e-01,1.988333333333333064e-01
6.950000000000000000e+02,2.280000000000000082e-01,1.896666666666666778e-01
7.000000000000000000e+02,2.190000000000000002e-01,1.804999999999999938e-01
7.050000000000000000e+02,2.099999999999999922e-01,1.706666666666666610e-01
7.100000000000000000e+02,2.030000000000000138e-01,1.623333333333333572e-01
7.150000000000000000e+02,1.960000000000000075e-01,1.543333333333333501e-01
7.200000000000000000e+02,1.890000000000000013e-01,1.471666666666666679e-01
7.250000000000000000e+02,1.819999999999999951e-01,1.393333333333333368e-01
7.300000000000000000e+02,1.759999999999999898e-01,1.315000000000000058e-01
7.350000000000000000e+02,1.719999999999999862e-01,1.255000000000000004e-01
7.400000000000000000e+02,1.660000000000000087e-01,1.190000000000000224e-01
7.450000000000000000e+02,1.600000000000000033e-01,1.128333333333333410e-01
7.500000000000000000e+02,1.539999999999999980e-01,1.068333333333333357e-01
7.550000000000000000e+02,1.479999999999999927e-01,1.008333333333333304e-01
7.600000000000000000e+02,1.429999999999999882e-01,9.583333333333332593e-02
7.650000000000000000e+02,1.380000000000000115e-01,9.116666666666667362e-02
7.700000000000000000e+02,1.330000000000000071e-01,8.650000000000002132e-02
7.750000000000000000e+02,1.280000000000000027e-01,8.183333333333334125e-02
7.800000000000000000e+02,1.239999999999999991e-01,7.850000000000001421e-02
7.850000000000000000e+02,1.189999999999999947e-01,7.383333333333333415e-02
7.900000000000000000e+02,1.150000000000000050e-01,7.066666666666668317e-02
7.950000000000000000e+02,1.110000000000000014e-01,6.700000000000000400e-02
8.000000000000000000e+02,1.079999999999999988e-01,6.483333333333332615e-02
8.050000000000000000e+02,1.039999999999999952e-01,6.083333333333332954e-02
8.100000000000000000e+02,1.019999999999999934e-01,5.899999999999998995e-02
8.150000000000000000e+02,9.900000000000000466e-02,5.583333333333333898e-02
8.200000000000000000e+02,9.700000000000000289e-02,5.316666666666667457e-02
8.250000000000000000e+02,9.600000000000000200e-02,5.133333333333334192e-02
8.300000000000000000e+02,9.600000000000000200e-02,4.900000000000000883e-02
8.350000000000000000e+02,9.600000000000000200e-02,4.666666666666666879e-02
8.400000000000000000e+02,9.500000000000000111e-02,4.516666666666666746e-02
8.450000000000000000e+02,9.400000000000000022e-02,4.333333333333333481e-02
8.500000000000000000e+02,9.299999999999999933e-02,4.150000000000000216e-02
8.550000000000000000e+02,9.199999999999999845e-02,4.000000000000000083e-02
