wavelength,absorbance,subtracted_absorbance
3.000000000000000000e+02,1.223000000000000087e+00,5.661666666666665959e-01
3.050000000000000000e+02,1.058000000000000052e+00,5.441666666666667984e-01
3.100000000000000000e+02,9.739999999999999769e-01,5.216666666666667229e-01
3.150000000000000000e+02,9.130000000000000338e-01,4.993333333333334068e-01
3.200000000000000000e+02,8.539999999999999813e-01,4.786666666666666847e-01
3.250000000000000000e+02,8.040000000000000480e-01,4.605000000000001315e-01
3.300000000000000000e+02,7.600000000000000089e-01,4.436666666666666536e-01
3.350000000000000000e+02,7.159999999999999698e-01,4.278333333333333433e-01
3.400000000000000000e+02,6.790000000000000480e-01,4.138333333333333308e-01
3.450000000000000000e+02,6.510000000000000231e-01,4.020000000000000240e-01
3.500000000000000000e+02,6.300000000000000044e-01,3.918333333333333668e-01
3.550000000000000000e+02,6.109999999999999876e-01,3.830000000000000071e-01
3.600000000000000000e+02,5.869999999999999662e-01,3.736666666666665915e-01
3.650000000000000000e+02,5.540000000000000480e-01,3.646666666666666945e-01
3.700000000000000000e+02,4.899999999999999911e-01,3.528333333333333321e-01
3.750000000000000000e+02,4.289999999999999925e-01,3.410000000000000253e-01
3.800000000000000000e+02,4.010000000000000231e-01,3.321666666666666656e-01
3.850000000000000000e+02,3.840000000000000080e-01,3.241666666666666585e-01
3.900000000000000000e+02,3.719999999999999973e-01,3.165000000000000036e-01
3.950000000000000000e+02,3.619999999999999885e-01,3.091666666666666452e-01
4.000000000000000000e+02,3.529999999999999805e-01,3.021666666666666390e-01
4.050000000000000000e+02,3.439999999999999725e-01,2.948333333333332806e-01
4.100000000000000000e+02,3.370000000000000218e-01,2.888333333333333863e-01
4.150000000000000000e+02,3.300000000000000155e-01,2.828333333333333810e-01
4.200000000000000000e+02,3.230000000000000093e-01,2.770000000000000240e-01
4.250000000000000000e+02,3.180000000000000049e-01,2.725000000000000200e-01
4.300000000000000000e+02,3.130000000000000004e-01,2.685000000000000164e-01
4.350000000000000000e+02,3.089999999999999969e-01,2.653333333333333099e-01
4.400000000000000000e+02,3.049999999999999933e-01,2.618333333333333068e-01
4.450000000000000000e+02,3.019999999999999907e-01,2.596666666666666567e-01
4.500000000000000000e+02,2.999999999999999889e-01,2.580000000000000071e-01
4.550000000000000000e+02,2.989999999999999880e-01,2.575000000000000067e-01
4.600000000000000000e+02,2.989999999999999880e-01,2.580000000000000071e-01
4.650000000000000000e+02,2.989999999999999880e-01,2.586666666666666559e-01
4.700000000000000000e+02,3.009999999999999898e-01,2.610000000000000098e-01
4.750000000000000000e+02,3.039999999999999925e-01,2.643333333333333091e-01
4.800000000000000000e+02,3.089999999999999969e-01,2.696666666666666656e-01
4.850000000000000000e+02,3.150000000000000022e-01,2.758333333333333193e-01
