wavelength,absorbance,subtracted_absorbance
3.000000000000000000e+02,1.076000000000000068e+00,4.191666666666665764e-01
3.050000000000000000e+02,9.320000000000000506e-01,4.181666666666667975e-01
3.100000000000000000e+02,8.619999999999999885e-01,4.096666666666666790e-01
3.150000000000000000e+02,8.139999999999999458e-01,4.003333333333333188e-01
3.200000000000000000e+02,7.660000000000000142e-01,3.906666666666667176e-01
3.250000000000000000e+02,7.249999999999999778e-01,3.815000000000000613e-01
3.300000000000000000e+02,6.889999999999999458e-01,3.726666666666665906e-01
3.350000000000000000e+02,6.530000000000000249e-01,3.648333333333333983e-01
3.400000000000000000e+02,6.239999999999999991e-01,3.588333333333332820e-01
3.450000000000000000e+02,6.029999999999999805e-01,3.539999999999999813e-01
3.500000000000000000e+02,5.889999999999999680e-01,3.508333333333333304e-01
3.550000000000000000e+02,5.769999999999999574e-01,3.489999999999999769e-01
3.600000000000000000e+02,5.600000000000000533e-01,3.466666666666666785e-01
3.650000000000000000e+02,5.340000000000000302e-01,3.446666666666666767e-01
3.700000000000000000e+02,4.739999999999999769e-01,3.368333333333333179e-01
3.750000000000000000e+02,4.189999999999999836e-01,3.310000000000000164e-01
3.800000000000000000e+02,3.960000000000000187e-01,3.271666666666666612e-01
3.850000000000000000e+02,3.830000000000000071e-01,3.231666666666666576e-01
3.900000000000000000e+02,3.750000000000000000e-01,3.195000000000000062e-01
3.950000000000000000e+02,3.689999999999999947e-01,3.161666666666666514e-01
4.000000000000000000e+02,3.639999999999999902e-01,3.131666666666666488e-01
4.050000000000000000e+02,3.579999999999999849e-01,3.088333333333332931e-01
4.100000000000000000e+02,3.529999999999999805e-01,3.048333333333332895e-01
4.150000000000000000e+02,3.489999999999999769e-01,3.018333333333332869e-01
4.200000000000000000e+02,3.449999999999999734e-01,2.989999999999999880e-01
4.250000000000000000e+02,3.410000000000000253e-01,2.955000000000000404e-01
4.300000000000000000e+02,3.370000000000000218e-01,2.925000000000000377e-01
4.350000000000000000e+02,3.330000000000000182e-01,2.893333333333333313e-01
4.400000000000000000e+02,3.300000000000000155e-01,2.868333333333333290e-01
4.450000000000000000e+02,3.270000000000000129e-01,2.846666666666666790e-01
4.500000000000000000e+02,3.250000000000000111e-01,2.830000000000000293e-01
4.550000000000000000e+02,3.230000000000000093e-01,2.815000000000000280e-01
4.600000000000000000e+02,3.210000000000000075e-01,2.800000000000000266e-01
4.650000000000000000e+02,3.200000000000000067e-01,2.796666666666666745e-01
4.700000000000000000e+02,3.200000000000000067e-01,2.800000000000000266e-01
4.750000000000000000e+02,3.210000000000000075e-01,2.813333333333333242e-01
4.800000000000000000e+02,3.230000000000000093e-01,2.836666666666666781e-01
4.850000000000000000e+02,3.270000000000000129e-01,2.878333333333333299e-01
4.900000000000000000e+02,3.340000000000000191e-01,2.951666666666666883e-01
4.950000000000000000e+02,3.430000000000000271e-01,3.043333333333333446e-01
5.000000000000000000e+02,3.549999999999999822e-01,3.163333333333332997e-01
5.050000000000000000e+02,3.689999999999999947e-01,3.306666666666666643e-01
5.100000000000000000e+02,3.840000000000000080e-01,3.456666666666666776e-01
5.150000000000000000e+02,3.980000000000000204e-01,3.595000000000000417e-01
5.200000000000000000e+02,4.129999999999999782e-01,3.744999999999999996e-01
5.250000000000000000e+02,4.259999999999999898e-01,3.876666666666666594e-01
5.300000000000000000e+02,4.359999999999999987e-01,3.975000000000000200e-01
5.350000000000000000e+02,4.460000000000000075e-01,4.073333333333333250e-01
5.400000000000000000e+02,4.540000000000000147e-01,4.151666666666666838e-01
5.450000000000000000e+02,4.600000000000000200e-01,4.211666666666666892e-01
5.500000000000000000e+02,4.640000000000000235e-01,4.251666666666666927e-01
