wavelength,absorbance,subtracted_absorbance
3.000000000000000000e+02,8.110000000000000542e-01,1.541666666666665630e-01
3.050000000000000000e+02,6.730000000000000426e-01,1.591666666666667895e-01
3.100000000000000000e+02,6.109999999999999876e-01,1.586666666666666781e-01
3.150000000000000000e+02,5.709999999999999520e-01,1.573333333333333250e-01
3.200000000000000000e+02,5.290000000000000258e-01,1.536666666666667291e-01
3.250000000000000000e+02,4.939999999999999947e-01,1.505000000000000782e-01
3.300000000000000000e+02,4.640000000000000235e-01,1.476666666666666683e-01
3.350000000000000000e+02,4.339999999999999969e-01,1.458333333333333703e-01
3.400000000000000000e+02,4.089999999999999747e-01,1.438333333333332575e-01
3.450000000000000000e+02,3.910000000000000142e-01,1.420000000000000429e-01
3.500000000000000000e+02,3.800000000000000044e-01,1.418333333333333668e-01
3.550000000000000000e+02,3.699999999999999956e-01,1.420000000000000151e-01
3.600000000000000000e+02,3.549999999999999822e-01,1.416666666666666352e-01
3.650000000000000000e+02,3.300000000000000155e-01,1.406666666666666898e-01
3.700000000000000000e+02,2.750000000000000222e-01,1.378333333333333355e-01
3.750000000000000000e+02,2.250000000000000056e-01,1.370000000000000107e-01
3.800000000000000000e+02,2.039999999999999869e-01,1.351666666666666572e-01
3.850000000000000000e+02,1.930000000000000049e-01,1.331666666666666832e-01
3.900000000000000000e+02,1.869999999999999996e-01,1.315000000000000058e-01
3.950000000000000000e+02,1.829999999999999960e-01,1.301666666666666528e-01
4.000000000000000000e+02,1.789999999999999925e-01,1.281666666666666510e-01
4.050000000000000000e+02,1.759999999999999898e-01,1.268333333333333257e-01
4.100000000000000000e+02,1.739999999999999880e-01,1.258333333333333248e-01
4.150000000000000000e+02,1.710000000000000131e-01,1.238333333333333508e-01
4.200000000000000000e+02,1.690000000000000113e-01,1.230000000000000260e-01
4.250000000000000000e+02,1.670000000000000095e-01,1.215000000000000246e-01
4.300000000000000000e+02,1.650000000000000078e-01,1.205000000000000238e-01
4.350000000000000000e+02,1.630000000000000060e-01,1.193333333333333468e-01
4.400000000000000000e+02,1.620000000000000051e-01,1.188333333333333464e-01
4.450000000000000000e+02,1.600000000000000033e-01,1.176666666666666694e-01
4.500000000000000000e+02,1.590000000000000024e-01,1.169999999999999929e-01
