wavelength,absorbance,subtracted_absorbance
3.000000000000000000e+02,8.569999999999999840e-01,2.001666666666664929e-01
3.050000000000000000e+02,7.189999999999999725e-01,2.051666666666667194e-01
3.100000000000000000e+02,6.580000000000000293e-01,2.056666666666667198e-01
3.150000000000000000e+02,6.179999999999999938e-01,2.043333333333333668e-01
3.200000000000000000e+02,5.759999999999999565e-01,2.006666666666666599e-01
3.250000000000000000e+02,5.410000000000000364e-01,1.975000000000001199e-01
3.300000000000000000e+02,5.110000000000000098e-01,1.946666666666666545e-01
3.350000000000000000e+02,4.799999999999999822e-01,1.918333333333333557e-01
3.400000000000000000e+02,4.550000000000000155e-01,1.898333333333332984e-01
3.450000000000000000e+02,4.369999999999999996e-01,1.880000000000000282e-01
3.500000000000000000e+02,4.259999999999999898e-01,1.878333333333333521e-01
3.550000000000000000e+02,4.159999999999999809e-01,1.880000000000000004e-01
3.600000000000000000e+02,4.010000000000000231e-01,1.876666666666666761e-01
3.650000000000000000e+02,3.739999999999999991e-01,1.846666666666666734e-01
3.700000000000000000e+02,3.109999999999999987e-01,1.738333333333333119e-01
3.750000000000000000e+02,2.510000000000000009e-01,1.630000000000000338e-01
3.800000000000000000e+02,2.270000000000000073e-01,1.581666666666666776e-01
3.850000000000000000e+02,2.159999999999999976e-01,1.561666666666666758e-01
3.900000000000000000e+02,2.099999999999999922e-01,1.544999999999999984e-01
3.950000000000000000e+02,2.059999999999999887e-01,1.531666666666666454e-01
4.000000000000000000e+02,2.030000000000000138e-01,1.521666666666666723e-01
4.050000000000000000e+02,2.000000000000000111e-01,1.508333333333333470e-01
4.100000000000000000e+02,1.970000000000000084e-01,1.488333333333333452e-01
4.150000000000000000e+02,1.940000000000000058e-01,1.468333333333333435e-01
4.200000000000000000e+02,1.920000000000000040e-01,1.460000000000000187e-01
4.250000000000000000e+02,1.900000000000000022e-01,1.445000000000000173e-01
4.300000000000000000e+02,1.880000000000000004e-01,1.435000000000000164e-01
4.350000000000000000e+02,1.859999999999999987e-01,1.423333333333333395e-01
4.400000000000000000e+02,1.839999999999999969e-01,1.408333333333333381e-01
4.450000000000000000e+02,1.829999999999999960e-01,1.406666666666666621e-01
4.500000000000000000e+02,1.819999999999999951e-01,1.399999999999999856e-01
4.550000000000000000e+02,1.799999999999999933e-01,1.384999999999999842e-01
4.600000000000000000e+02,1.789999999999999925e-01,1.379999999999999838e-01
4.650000000000000000e+02,1.779999999999999916e-01,1.376666666666666594e-01
4.700000000000000000e+02,1.769999999999999907e-01,1.369999999999999829e-01
4.750000000000000000e+02,1.769999999999999907e-01,1.373333333333333073e-01
4.800000000000000000e+02,1.779999999999999916e-01,1.386666666666666603e-01
4.850000000000000000e+02,1.779999999999999916e-01,1.388333333333333086e-01
4.900000000000000000e+02,1.809999999999999942e-01,1.421666666666666634e-01
4.950000000000000000e+02,1.839999999999999969e-01,1.453333333333333144e-01
5.000000000000000000e+02,1.880000000000000004e-01,1.493333333333333179e-01
5.050000000000000000e+02,1.920000000000000040e-01,1.536666666666666736e-01
5.100000000000000000e+02,1.970000000000000084e-01,1.586666666666666781e-01
5.150000000000000000e+02,2.010000000000000120e-01,1.625000000000000056e-01
5.200000000000000000e+02,2.049999999999999878e-01,1.664999999999999813e-01
5.250000000000000000e+02,2.079999999999999905e-01,1.696666666666666601e-01
5.300000000000000000e+02,2.099999999999999922e-01,1.714999999999999858e-01
5.350000000000000000e+02,2.119999999999999940e-01,1.733333333333333393e-01
5.400000000000000000e+02,2.129999999999999949e-01,1.741666666666666641e-01
5.450000000000000000e+02,2.139999999999999958e-01,1.751666666666666650e-01
5.500000000000000000e+02,2.139999999999999958e-01,1.751666666666666650e-01
5.550000000000000000e+02,2.139999999999999958e-01,1.749999999999999889e-01
5.600000000000000000e+02,2.139999999999999958e-01,1.751666666666666650e-01
5.650000000000000000e+02,2.139999999999999958e-01,1.748333333333333406e-01
5.700000000000000000e+02,2.129999999999999949e-01,1.738333333333333397e-01
5.750000000000000000e+02,2.129999999999999949e-01,1.738333333333333397e-01
5.800000000000000000e+02,2.119999999999999940e-01,1.728333333333333388e-01
5.850000000000000000e+02,2.109999999999999931e-01,1.718333333333333379e-01
5.900000000000000000e+02,2.099999999999999922e-01,1.703333333333333366e-01
5.950000000000000000e+02,2.089999999999999913e-01,1.694999999999999840e-01
6.000000000000000000e+02,2.079999999999999905e-01,1.681666666666666587e-01
6.050000000000000000e+02,2.069999999999999896e-01,1.671666666666666579e-01
6.100000000000000000e+02,2.049999999999999878e-01,1.651666666666666561e-01
6.150000000000000000e+02,2.039999999999999869e-01,1.644999999999999796e-01
6.200000000000000000e+02,2.020000000000000129e-01,1.626666666666666816e-01
6.250000000000000000e+02,2.010000000000000120e-01,1.616666666666666807e-01
6.300000000000000000e+02,2.000000000000000111e-01,1.608333333333333282e-01
6.350000000000000000e+02,1.980000000000000093e-01,1.588333333333333264e-01
6.400000000000000000e+02,1.970000000000000084e-01,1.581666666666666776e-01
6.450000000000000000e+02,1.960000000000000075e-01,1.571666666666666767e-01
6.500000000000000000e+02,1.940000000000000058e-01,1.553333333333333233e-01
6.550000000000000000e+02,1.930000000000000049e-01,1.543333333333333224e-01
6.600000000000000000e+02,1.920000000000000040e-01,1.531666666666666732e-01
6.650000000000000000e+02,1.910000000000000031e-01,1.523333333333333206e-01
6.700000000000000000e+02,1.890000000000000013e-01,1.504999999999999949e-01
6.750000000000000000e+02,1.880000000000000004e-01,1.494999999999999940e-01
6.800000000000000000e+02,1.869999999999999996e-01,1.486666666666666692e-01
6.850000000000000000e+02,1.859999999999999987e-01,1.476666666666666683e-01
6.900000000000000000e+02,1.849999999999999978e-01,1.468333333333333157e-01
6.950000000000000000e+02,1.839999999999999969e-01,1.456666666666666665e-01
7.000000000000000000e+02,1.839999999999999969e-01,1.454999999999999905e-01
7.050000000000000000e+02,1.829999999999999960e-01,1.436666666666666647e-01
7.100000000000000000e+02,1.819999999999999951e-01,1.413333333333333386e-01
7.150000000000000000e+02,1.829999999999999960e-01,1.413333333333333386e-01
7.200000000000000000e+02,1.819999999999999951e-01,1.401666666666666616e-01
7.250000000000000000e+02,1.829999999999999960e-01,1.403333333333333377e-01
7.300000000000000000e+02,1.829999999999999960e-01,1.385000000000000120e-01
7.350000000000000000e+02,1.849999999999999978e-01,1.385000000000000120e-01
7.400000000000000000e+02,1.849999999999999978e-01,1.380000000000000115e-01
7.450000000000000000e+02,1.839999999999999969e-01,1.368333333333333346e-01
7.500000000000000000e+02,1.829999999999999960e-01,1.358333333333333337e-01
7.550000000000000000e+02,1.829999999999999960e-01,1.358333333333333337e-01
7.600000000000000000e+02,1.819999999999999951e-01,1.348333333333333328e-01
7.650000000000000000e+02,1.809999999999999942e-01,1.341666666666666563e-01
7.700000000000000000e+02,1.799999999999999933e-01,1.335000000000000075e-01
7.750000000000000000e+02,1.789999999999999925e-01,1.328333333333333310e-01
7.800000000000000000e+02,1.779999999999999916e-01,1.325000000000000067e-01
7.850000000000000000e+02,1.769999999999999907e-01,1.318333333333333302e-01
7.900000000000000000e+02,1.759999999999999898e-01,1.316666666666666541e-01
7.950000000000000000e+02,1.749999999999999889e-01,1.310000000000000053e-01
8.000000000000000000e+02,1.739999999999999880e-01,1.308333333333333293e-01
8.050000000000000000e+02,1.729999999999999871e-01,1.298333333333333284e-01
8.100000000000000000e+02,1.719999999999999862e-01,1.289999999999999758e-01
8.150000000000000000e+02,1.719999999999999862e-01,1.288333333333333275e-01
8.200000000000000000e+02,1.719999999999999862e-01,1.281666666666666510e-01
8.250000000000000000e+02,1.729999999999999871e-01,1.283333333333333270e-01
8.300000000000000000e+02,1.739999999999999880e-01,1.270000000000000018e-01
8.350000000000000000e+02,1.749999999999999889e-01,1.256666666666666488e-01
8.400000000000000000e+02,1.759999999999999898e-01,1.261666666666666492e-01
8.450000000000000000e+02,1.759999999999999898e-01,1.253333333333333244e-01
8.500000000000000000e+02,1.759999999999999898e-01,1.244999999999999996e-01
8.550000000000000000e+02,1.759999999999999898e-01,1.239999999999999991e-01
8.600000000000000000e+02,1.769999999999999907e-01,1.234999999999999987e-01
8.650000000000000000e+02,1.779999999999999916e-01,1.224999999999999978e-01
