wavelength,absorbance,subtracted_absorbance
3.000000000000000000e+02,7.419999999999999929e-01,8.516666666666650176e-02
3.050000000000000000e+02,5.989999999999999769e-01,8.516666666666672381e-02
3.100000000000000000e+02,5.360000000000000320e-01,8.366666666666672247e-02
3.150000000000000000e+02,4.939999999999999947e-01,8.033333333333336768e-02
3.200000000000000000e+02,4.520000000000000129e-01,7.666666666666671626e-02
3.250000000000000000e+02,4.159999999999999809e-01,7.250000000000006439e-02
3.300000000000000000e+02,3.860000000000000098e-01,6.966666666666665453e-02
3.350000000000000000e+02,3.549999999999999822e-01,6.683333333333335569e-02
3.400000000000000000e+02,3.290000000000000147e-01,6.383333333333329751e-02
3.450000000000000000e+02,3.109999999999999987e-01,6.200000000000002731e-02
3.500000000000000000e+02,2.989999999999999880e-01,6.083333333333335036e-02
3.550000000000000000e+02,2.879999999999999782e-01,5.999999999999999778e-02
3.600000000000000000e+02,2.720000000000000195e-01,5.866666666666667251e-02
3.650000000000000000e+02,2.429999999999999938e-01,5.366666666666666807e-02
3.700000000000000000e+02,1.759999999999999898e-01,3.883333333333330306e-02
3.750000000000000000e+02,1.079999999999999988e-01,2.000000000000001776e-02
3.800000000000000000e+02,8.300000000000000433e-02,1.416666666666666075e-02
3.850000000000000000e+02,7.099999999999999367e-02,1.116666666666666502e-02
3.900000000000000000e+02,6.500000000000000222e-02,9.500000000000001499e-03
3.950000000000000000e+02,6.199999999999999956e-02,9.166666666666663243e-03
4.000000000000000000e+02,5.899999999999999689e-02,8.166666666666662355e-03
4.050000000000000000e+02,5.700000000000000205e-02,7.833333333333337978e-03
4.100000000000000000e+02,5.500000000000000028e-02,6.833333333333337090e-03
4.150000000000000000e+02,5.299999999999999850e-02,5.833333333333336201e-03
4.200000000000000000e+02,5.099999999999999672e-02,5.000000000000004441e-03
4.250000000000000000e+02,5.000000000000000278e-02,4.500000000000010936e-03
4.300000000000000000e+02,4.900000000000000189e-02,4.500000000000010936e-03
4.350000000000000000e+02,4.800000000000000100e-02,4.333333333333341808e-03
4.400000000000000000e+02,4.700000000000000011e-02,3.833333333333334425e-03
4.450000000000000000e+02,4.599999999999999922e-02,3.666666666666665297e-03
4.500000000000000000e+02,4.499999999999999833e-02,2.999999999999995726e-03
