wavelength,absorbance,subtracted_absorbance
3.000000000000000000e+02,8.509999999999999787e-01,1.941666666666664876e-01
3.050000000000000000e+02,7.019999999999999574e-01,1.881666666666667043e-01
3.100000000000000000e+02,6.330000000000000071e-01,1.806666666666666976e-01
3.150000000000000000e+02,5.879999999999999671e-01,1.743333333333333401e-01
3.200000000000000000e+02,5.410000000000000364e-01,1.656666666666667398e-01
3.250000000000000000e+02,5.040000000000000036e-01,1.605000000000000870e-01
3.300000000000000000e+02,4.699999999999999734e-01,1.536666666666666181e-01
3.350000000000000000e+02,4.369999999999999996e-01,1.488333333333333730e-01
3.400000000000000000e+02,4.089999999999999747e-01,1.438333333333332575e-01
3.450000000000000000e+02,3.890000000000000124e-01,1.400000000000000411e-01
3.500000000000000000e+02,3.750000000000000000e-01,1.368333333333333623e-01
3.550000000000000000e+02,3.619999999999999885e-01,1.340000000000000080e-01
3.600000000000000000e+02,3.449999999999999734e-01,1.316666666666666263e-01
3.650000000000000000e+02,3.150000000000000022e-01,1.256666666666666765e-01
3.700000000000000000e+02,2.500000000000000000e-01,1.128333333333333133e-01
3.750000000000000000e+02,1.849999999999999978e-01,9.700000000000001676e-02
3.800000000000000000e+02,1.580000000000000016e-01,8.916666666666665797e-02
3.850000000000000000e+02,1.459999999999999909e-01,8.616666666666666918e-02
3.900000000000000000e+02,1.390000000000000124e-01,8.350000000000001865e-02
3.950000000000000000e+02,1.350000000000000089e-01,8.216666666666666563e-02
4.000000000000000000e+02,1.300000000000000044e-01,7.916666666666666297e-02
4.050000000000000000e+02,1.270000000000000018e-01,7.783333333333333770e-02
4.100000000000000000e+02,1.239999999999999991e-01,7.583333333333333592e-02
4.150000000000000000e+02,1.209999999999999964e-01,7.383333333333333415e-02
4.200000000000000000e+02,1.199999999999999956e-01,7.400000000000001021e-02
4.250000000000000000e+02,1.179999999999999938e-01,7.250000000000000888e-02
4.300000000000000000e+02,1.170000000000000068e-01,7.250000000000000888e-02
4.350000000000000000e+02,1.150000000000000050e-01,7.133333333333334580e-02
4.400000000000000000e+02,1.130000000000000032e-01,6.983333333333333059e-02
4.450000000000000000e+02,1.120000000000000023e-01,6.966666666666666841e-02
4.500000000000000000e+02,1.110000000000000014e-01,6.900000000000000577e-02
4.550000000000000000e+02,1.100000000000000006e-01,6.850000000000000533e-02
4.600000000000000000e+02,1.100000000000000006e-01,6.900000000000000577e-02
4.650000000000000000e+02,1.089999999999999997e-01,6.866666666666665364e-02
4.700000000000000000e+02,1.089999999999999997e-01,6.900000000000000577e-02
4.750000000000000000e+02,1.079999999999999988e-01,6.833333333333332926e-02
4.800000000000000000e+02,1.089999999999999997e-01,6.966666666666665453e-02
4.850000000000000000e+02,1.079999999999999988e-01,6.883333333333332971e-02
4.900000000000000000e+02,1.089999999999999997e-01,7.016666666666665497e-02
4.950000000000000000e+02,1.100000000000000006e-01,7.133333333333333193e-02
5.000000000000000000e+02,1.100000000000000006e-01,7.133333333333333193e-02
5.050000000000000000e+02,1.110000000000000014e-01,7.266666666666665719e-02
5.100000000000000000e+02,1.130000000000000032e-01,7.466666666666665897e-02
5.150000000000000000e+02,1.140000000000000041e-01,7.550000000000001155e-02
5.200000000000000000e+02,1.150000000000000050e-01,7.650000000000001243e-02
5.250000000000000000e+02,1.170000000000000068e-01,7.866666666666666252e-02
5.300000000000000000e+02,1.160000000000000059e-01,7.750000000000001332e-02
5.350000000000000000e+02,1.170000000000000068e-01,7.833333333333333814e-02
5.400000000000000000e+02,1.170000000000000068e-01,7.816666666666666208e-02
5.450000000000000000e+02,1.160000000000000059e-01,7.716666666666666119e-02
5.500000000000000000e+02,1.150000000000000050e-01,7.616666666666666030e-02
5.550000000000000000e+02,1.140000000000000041e-01,7.500000000000001110e-02
5.600000000000000000e+02,1.130000000000000032e-01,7.416666666666665853e-02
5.650000000000000000e+02,1.120000000000000023e-01,7.283333333333333326e-02
5.700000000000000000e+02,1.089999999999999997e-01,6.983333333333333059e-02
5.750000000000000000e+02,1.069999999999999979e-01,6.783333333333332882e-02
5.800000000000000000e+02,1.039999999999999952e-01,6.483333333333332615e-02
5.850000000000000000e+02,1.019999999999999934e-01,6.283333333333332438e-02
5.900000000000000000e+02,1.000000000000000056e-01,6.033333333333333603e-02
5.950000000000000000e+02,9.700000000000000289e-02,5.750000000000000250e-02
6.000000000000000000e+02,9.500000000000000111e-02,5.516666666666666247e-02
6.050000000000000000e+02,9.199999999999999845e-02,5.216666666666665980e-02
6.100000000000000000e+02,8.999999999999999667e-02,5.016666666666665803e-02
6.150000000000000000e+02,8.699999999999999400e-02,4.749999999999999362e-02
6.200000000000000000e+02,8.500000000000000611e-02,4.566666666666666791e-02
6.250000000000000000e+02,8.300000000000000433e-02,4.366666666666666613e-02
6.300000000000000000e+02,8.100000000000000255e-02,4.183333333333333348e-02
6.350000000000000000e+02,7.900000000000000078e-02,3.983333333333333171e-02
6.400000000000000000e+02,7.699999999999999900e-02,3.816666666666666125e-02
6.450000000000000000e+02,7.599999999999999811e-02,3.716666666666666036e-02
6.500000000000000000e+02,7.399999999999999634e-02,3.533333333333332771e-02
6.550000000000000000e+02,7.299999999999999545e-02,3.433333333333332682e-02
6.600000000000000000e+02,7.199999999999999456e-02,3.316666666666665680e-02
6.650000000000000000e+02,7.099999999999999367e-02,3.233333333333332504e-02
6.700000000000000000e+02,7.000000000000000666e-02,3.150000000000000716e-02
6.750000000000000000e+02,6.900000000000000577e-02,3.050000000000000627e-02
6.800000000000000000e+02,6.800000000000000488e-02,2.966666666666666757e-02
6.850000000000000000e+02,6.700000000000000400e-02,2.866666666666666669e-02
6.900000000000000000e+02,6.600000000000000311e-02,2.783333333333333492e-02
6.950000000000000000e+02,6.600000000000000311e-02,2.766666666666666580e-02
7.000000000000000000e+02,6.600000000000000311e-02,2.750000000000000361e-02
7.050000000000000000e+02,6.300000000000000044e-02,2.366666666666666224e-02
7.100000000000000000e+02,6.300000000000000044e-02,2.233333333333333698e-02
7.150000000000000000e+02,6.500000000000000222e-02,2.333333333333333787e-02
7.200000000000000000e+02,6.700000000000000400e-02,2.516666666666667052e-02
7.250000000000000000e+02,6.700000000000000400e-02,2.433333333333333875e-02
7.300000000000000000e+02,6.900000000000000577e-02,2.450000000000001482e-02
7.350000000000000000e+02,7.000000000000000666e-02,2.350000000000001393e-02
7.400000000000000000e+02,7.099999999999999367e-02,2.400000000000000050e-02
7.450000000000000000e+02,7.000000000000000666e-02,2.283333333333334436e-02
7.500000000000000000e+02,7.000000000000000666e-02,2.283333333333334436e-02
7.550000000000000000e+02,7.000000000000000666e-02,2.283333333333334436e-02
7.600000000000000000e+02,7.000000000000000666e-02,2.283333333333334436e-02
7.650000000000000000e+02,7.000000000000000666e-02,2.316666666666667568e-02
7.700000000000000000e+02,6.900000000000000577e-02,2.250000000000001305e-02
7.750000000000000000e+02,6.900000000000000577e-02,2.283333333333334436e-02
7.800000000000000000e+02,6.800000000000000488e-02,2.250000000000001305e-02
7.850000000000000000e+02,6.800000000000000488e-02,2.283333333333334436e-02
7.900000000000000000e+02,6.700000000000000400e-02,2.266666666666667523e-02
7.950000000000000000e+02,6.600000000000000311e-02,2.200000000000001260e-02
8.000000000000000000e+02,6.600000000000000311e-02,2.283333333333333742e-02
8.050000000000000000e+02,6.500000000000000222e-02,2.183333333333333653e-02
8.100000000000000000e+02,6.600000000000000311e-02,2.299999999999999961e-02
8.150000000000000000e+02,6.500000000000000222e-02,2.183333333333333653e-02
8.200000000000000000e+02,6.300000000000000044e-02,1.916666666666667213e-02
8.250000000000000000e+02,6.900000000000000577e-02,2.433333333333334569e-02
8.300000000000000000e+02,7.099999999999999367e-02,2.400000000000000050e-02
8.350000000000000000e+02,7.199999999999999456e-02,2.266666666666666136e-02
8.400000000000000000e+02,7.199999999999999456e-02,2.216666666666666091e-02
8.450000000000000000e+02,7.299999999999999545e-02,2.233333333333333004e-02
8.500000000000000000e+02,7.299999999999999545e-02,2.149999999999999828e-02
8.550000000000000000e+02,7.399999999999999634e-02,2.199999999999999872e-02
8.600000000000000000e+02,7.499999999999999722e-02,2.149999999999999828e-02
8.650000000000000000e+02,7.699999999999999900e-02,2.149999999999999828e-02
8.700000000000000000e+02,8.000000000000000167e-02,2.150000000000000522e-02
8.750000000000000000e+02,8.300000000000000433e-02,2.183333333333333653e-02
8.800000000000000000e+02,7.900000000000000078e-02,1.866666666666667168e-02
8.850000000000000000e+02,8.400000000000000522e-02,2.450000000000000788e-02
8.900000000000000000e+02,8.100000000000000255e-02,2.183333333333333653e-02
8.950000000000000000e+02,8.200000000000000344e-02,2.200000000000000566e-02
9.000000000000000000e+02,8.300000000000000433e-02,2.183333333333333653e-02
9.050000000000000000e+02,8.599999999999999312e-02,2.333333333333333093e-02
9.100000000000000000e+02,8.599999999999999312e-02,2.083333333333332871e-02
9.150000000000000000e+02,8.799999999999999489e-02,1.983333333333332782e-02
9.200000000000000000e+02,9.500000000000000111e-02,2.316666666666666874e-02
9.250000000000000000e+02,1.000000000000000056e-01,2.100000000000000477e-02
9.300000000000000000e+02,1.089999999999999997e-01,2.066666666666668040e-02
9.350000000000000000e+02,1.189999999999999947e-01,1.800000000000000211e-02
9.400000000000000000e+02,1.340000000000000080e-01,2.016666666666666607e-02
9.450000000000000000e+02,1.519999999999999962e-01,1.883333333333331305e-02
9.500000000000000000e+02,1.769999999999999907e-01,1.716666666666663565e-02
