wavelength,absorbance,subtracted_absorbance
3.000000000000000000e+02,1.175000000000000044e+00,5.181666666666665533e-01
3.050000000000000000e+02,1.016999999999999904e+00,5.031666666666666510e-01
3.100000000000000000e+02,9.340000000000000524e-01,4.816666666666667429e-01
3.150000000000000000e+02,8.719999999999999973e-01,4.583333333333333703e-01
3.200000000000000000e+02,8.080000000000000515e-01,4.326666666666667549e-01
3.250000000000000000e+02,7.510000000000000009e-01,4.075000000000000844e-01
3.300000000000000000e+02,6.989999999999999547e-01,3.826666666666665995e-01
3.350000000000000000e+02,6.460000000000000187e-01,3.578333333333333921e-01
3.400000000000000000e+02,5.999999999999999778e-01,3.348333333333332607e-01
3.450000000000000000e+02,5.600000000000000533e-01,3.110000000000000542e-01
3.500000000000000000e+02,5.290000000000000258e-01,2.908333333333333881e-01
3.550000000000000000e+02,4.989999999999999991e-01,2.710000000000000187e-01
3.600000000000000000e+02,4.670000000000000262e-01,2.536666666666667069e-01
3.650000000000000000e+02,4.229999999999999871e-01,2.336666666666666614e-01
3.700000000000000000e+02,3.449999999999999734e-01,2.078333333333332866e-01
3.750000000000000000e+02,2.710000000000000187e-01,1.830000000000000515e-01
3.800000000000000000e+02,2.349999999999999867e-01,1.661666666666666292e-01
3.850000000000000000e+02,2.119999999999999940e-01,1.521666666666666723e-01
3.900000000000000000e+02,1.940000000000000058e-01,1.385000000000000120e-01
3.950000000000000000e+02,1.809999999999999942e-01,1.281666666666666510e-01
4.000000000000000000e+02,1.680000000000000104e-01,1.171666666666666690e-01
4.050000000000000000e+02,1.559999999999999998e-01,1.068333333333333357e-01
4.100000000000000000e+02,1.459999999999999909e-01,9.783333333333332771e-02
4.150000000000000000e+02,1.370000000000000107e-01,8.983333333333334836e-02
4.200000000000000000e+02,1.290000000000000036e-01,8.300000000000001821e-02
4.250000000000000000e+02,1.209999999999999964e-01,7.550000000000001155e-02
4.300000000000000000e+02,1.150000000000000050e-01,7.050000000000000711e-02
4.350000000000000000e+02,1.079999999999999988e-01,6.433333333333333959e-02
4.400000000000000000e+02,1.029999999999999943e-01,5.983333333333332865e-02
4.450000000000000000e+02,9.800000000000000377e-02,5.566666666666666985e-02
4.500000000000000000e+02,9.299999999999999933e-02,5.099999999999999672e-02
4.550000000000000000e+02,8.899999999999999578e-02,4.749999999999999362e-02
4.600000000000000000e+02,8.500000000000000611e-02,4.400000000000000439e-02
4.650000000000000000e+02,8.100000000000000255e-02,4.066666666666666347e-02
4.700000000000000000e+02,7.799999999999999989e-02,3.799999999999999906e-02
4.750000000000000000e+02,7.499999999999999722e-02,3.533333333333332771e-02
4.800000000000000000e+02,7.199999999999999456e-02,3.266666666666665636e-02
4.850000000000000000e+02,7.000000000000000666e-02,3.083333333333333759e-02
4.900000000000000000e+02,6.700000000000000400e-02,2.816666666666666624e-02
4.950000000000000000e+02,6.500000000000000222e-02,2.633333333333333359e-02
5.000000000000000000e+02,6.300000000000000044e-02,2.433333333333333182e-02
5.050000000000000000e+02,6.099999999999999867e-02,2.266666666666666136e-02
5.100000000000000000e+02,5.999999999999999778e-02,2.166666666666666047e-02
5.150000000000000000e+02,5.800000000000000294e-02,1.950000000000000344e-02
5.200000000000000000e+02,5.700000000000000205e-02,1.850000000000000255e-02
5.250000000000000000e+02,5.600000000000000117e-02,1.766666666666666385e-02
5.300000000000000000e+02,5.399999999999999939e-02,1.549999999999999989e-02
5.350000000000000000e+02,5.299999999999999850e-02,1.433333333333332987e-02
5.400000000000000000e+02,5.199999999999999761e-02,1.316666666666665986e-02
5.450000000000000000e+02,5.099999999999999672e-02,1.216666666666665897e-02
5.500000000000000000e+02,5.000000000000000278e-02,1.116666666666666502e-02
5.550000000000000000e+02,5.000000000000000278e-02,1.100000000000000283e-02
5.600000000000000000e+02,4.900000000000000189e-02,1.016666666666666413e-02
5.650000000000000000e+02,4.800000000000000100e-02,8.833333333333331927e-03
5.700000000000000000e+02,4.700000000000000011e-02,7.833333333333331039e-03
5.750000000000000000e+02,4.700000000000000011e-02,7.833333333333331039e-03
5.800000000000000000e+02,4.599999999999999922e-02,6.833333333333330151e-03
5.850000000000000000e+02,4.599999999999999922e-02,6.833333333333330151e-03
5.900000000000000000e+02,4.499999999999999833e-02,5.333333333333328818e-03
5.950000000000000000e+02,4.499999999999999833e-02,5.499999999999997946e-03
6.000000000000000000e+02,4.399999999999999745e-02,4.166666666666658803e-03
6.050000000000000000e+02,4.399999999999999745e-02,4.166666666666658803e-03
6.100000000000000000e+02,4.399999999999999745e-02,4.166666666666658803e-03
6.150000000000000000e+02,4.299999999999999656e-02,3.499999999999996170e-03
6.200000000000000000e+02,4.299999999999999656e-02,3.666666666666658358e-03
6.250000000000000000e+02,4.299999999999999656e-02,3.666666666666658358e-03
6.300000000000000000e+02,4.200000000000000261e-02,2.833333333333333537e-03
6.350000000000000000e+02,4.200000000000000261e-02,2.833333333333333537e-03
6.400000000000000000e+02,4.200000000000000261e-02,3.166666666666664853e-03
6.450000000000000000e+02,4.200000000000000261e-02,3.166666666666664853e-03
6.500000000000000000e+02,4.100000000000000172e-02,2.333333333333333093e-03
6.550000000000000000e+02,4.100000000000000172e-02,2.333333333333333093e-03
6.600000000000000000e+02,4.100000000000000172e-02,2.166666666666663965e-03
6.650000000000000000e+02,4.100000000000000172e-02,2.333333333333333093e-03
6.700000000000000000e+02,4.100000000000000172e-02,2.500000000000002220e-03
6.750000000000000000e+02,4.100000000000000172e-02,2.500000000000002220e-03
6.800000000000000000e+02,4.100000000000000172e-02,2.666666666666664409e-03
6.850000000000000000e+02,4.100000000000000172e-02,2.666666666666664409e-03
6.900000000000000000e+02,4.100000000000000172e-02,2.833333333333333537e-03
6.950000000000000000e+02,4.100000000000000172e-02,2.666666666666664409e-03
7.000000000000000000e+02,4.100000000000000172e-02,2.500000000000002220e-03
7.050000000000000000e+02,4.200000000000000261e-02,2.666666666666664409e-03
7.100000000000000000e+02,4.299999999999999656e-02,2.333333333333333093e-03
7.150000000000000000e+02,4.399999999999999745e-02,2.333333333333333093e-03
7.200000000000000000e+02,4.399999999999999745e-02,2.166666666666663965e-03
7.250000000000000000e+02,4.499999999999999833e-02,2.333333333333333093e-03
7.300000000000000000e+02,4.700000000000000011e-02,2.500000000000009159e-03
7.350000000000000000e+02,4.900000000000000189e-02,2.500000000000009159e-03
7.400000000000000000e+02,5.000000000000000278e-02,3.000000000000009603e-03
7.450000000000000000e+02,5.000000000000000278e-02,2.833333333333340476e-03
7.500000000000000000e+02,5.000000000000000278e-02,2.833333333333340476e-03
7.550000000000000000e+02,5.000000000000000278e-02,2.833333333333340476e-03
7.600000000000000000e+02,5.000000000000000278e-02,2.833333333333340476e-03
7.650000000000000000e+02,5.000000000000000278e-02,3.166666666666671792e-03
7.700000000000000000e+02,4.900000000000000189e-02,2.500000000000009159e-03
7.750000000000000000e+02,4.900000000000000189e-02,2.833333333333340476e-03
7.800000000000000000e+02,4.900000000000000189e-02,3.500000000000010048e-03
7.850000000000000000e+02,4.800000000000000100e-02,2.833333333333340476e-03
7.900000000000000000e+02,4.800000000000000100e-02,3.666666666666672236e-03
7.950000000000000000e+02,4.700000000000000011e-02,3.000000000000009603e-03
8.000000000000000000e+02,4.700000000000000011e-02,3.833333333333334425e-03
8.050000000000000000e+02,4.700000000000000011e-02,3.833333333333334425e-03
8.100000000000000000e+02,4.700000000000000011e-02,3.999999999999996614e-03
8.150000000000000000e+02,4.700000000000000011e-02,3.833333333333334425e-03
8.200000000000000000e+02,4.800000000000000100e-02,4.166666666666672680e-03
8.250000000000000000e+02,4.800000000000000100e-02,3.333333333333340920e-03
8.300000000000000000e+02,5.000000000000000278e-02,3.000000000000009603e-03
8.350000000000000000e+02,5.199999999999999761e-02,2.666666666666664409e-03
8.400000000000000000e+02,5.299999999999999850e-02,3.166666666666664853e-03
8.450000000000000000e+02,5.399999999999999939e-02,3.333333333333333981e-03
8.500000000000000000e+02,5.500000000000000028e-02,3.500000000000003109e-03
8.550000000000000000e+02,5.600000000000000117e-02,4.000000000000003553e-03
8.600000000000000000e+02,5.700000000000000205e-02,3.500000000000003109e-03
8.650000000000000000e+02,5.899999999999999689e-02,3.499999999999996170e-03
8.700000000000000000e+02,6.099999999999999867e-02,2.500000000000002220e-03
8.750000000000000000e+02,6.400000000000000133e-02,2.833333333333333537e-03
8.800000000000000000e+02,6.400000000000000133e-02,3.666666666666672236e-03
8.850000000000000000e+02,6.199999999999999956e-02,2.500000000000002220e-03
8.900000000000000000e+02,6.199999999999999956e-02,2.833333333333333537e-03
8.950000000000000000e+02,6.300000000000000044e-02,3.000000000000002665e-03
9.000000000000000000e+02,6.400000000000000133e-02,2.833333333333333537e-03
9.050000000000000000e+02,6.500000000000000222e-02,2.333333333333340032e-03
9.100000000000000000e+02,6.800000000000000488e-02,2.833333333333340476e-03
9.150000000000000000e+02,7.099999999999999367e-02,2.833333333333326598e-03
9.200000000000000000e+02,7.399999999999999634e-02,2.166666666666663965e-03
9.250000000000000000e+02,8.100000000000000255e-02,2.000000000000001776e-03
9.300000000000000000e+02,8.999999999999999667e-02,1.666666666666677399e-03
9.350000000000000000e+02,1.019999999999999934e-01,1.000000000000000888e-03
9.400000000000000000e+02,1.140000000000000041e-01,1.666666666666621888e-04
9.450000000000000000e+02,1.320000000000000062e-01,-1.166666666666676955e-03
9.500000000000000000e+02,1.570000000000000007e-01,-2.833333333333354354e-03
9.550000000000000000e+02,1.880000000000000004e-01,-4.166666666666679619e-03
9.600000000000000000e+02,2.139999999999999958e-01,-5.166666666666652752e-03
9.650000000000000000e+02,2.240000000000000047e-01,-6.000000000000005329e-03
9.700000000000000000e+02,2.280000000000000082e-01,-6.999999999999978462e-03
9.750000000000000000e+02,2.300000000000000100e-01,-7.666666666666654972e-03
9.800000000000000000e+02,2.290000000000000091e-01,-7.999999999999951594e-03
9.850000000000000000e+02,2.250000000000000056e-01,-7.833333333333331039e-03
9.900000000000000000e+02,2.169999999999999984e-01,-7.166666666666710039e-03
9.950000000000000000e+02,2.109999999999999931e-01,-8.833333333333331927e-03
