wavelength,absorbance,subtracted_absorbance
3.000000000000000000e+02,9.090000000000000302e-01,2.521666666666665391e-01
3.050000000000000000e+02,7.540000000000000036e-01,2.401666666666667505e-01
3.100000000000000000e+02,6.850000000000000533e-01,2.326666666666667438e-01
3.150000000000000000e+02,6.400000000000000133e-01,2.263333333333333863e-01
3.200000000000000000e+02,5.949999999999999734e-01,2.196666666666666767e-01
3.250000000000000000e+02,5.570000000000000506e-01,2.135000000000001341e-01
3.300000000000000000e+02,5.250000000000000222e-01,2.086666666666666670e-01
3.350000000000000000e+02,4.909999999999999920e-01,2.028333333333333655e-01
3.400000000000000000e+02,4.640000000000000235e-01,1.988333333333333064e-01
3.450000000000000000e+02,4.450000000000000067e-01,1.960000000000000353e-01
3.500000000000000000e+02,4.319999999999999951e-01,1.938333333333333575e-01
3.550000000000000000e+02,4.209999999999999853e-01,1.930000000000000049e-01
3.600000000000000000e+02,4.040000000000000258e-01,1.906666666666666787e-01
3.650000000000000000e+02,3.780000000000000027e-01,1.886666666666666770e-01
3.700000000000000000e+02,3.210000000000000075e-01,1.838333333333333208e-01
3.750000000000000000e+02,2.700000000000000178e-01,1.820000000000000506e-01
3.800000000000000000e+02,2.489999999999999991e-01,1.801666666666666416e-01
3.850000000000000000e+02,2.369999999999999885e-01,1.771666666666666667e-01
3.900000000000000000e+02,2.310000000000000109e-01,1.755000000000000171e-01
3.950000000000000000e+02,2.260000000000000064e-01,1.731666666666666632e-01
4.000000000000000000e+02,2.230000000000000038e-01,1.721666666666666623e-01
4.050000000000000000e+02,2.190000000000000002e-01,1.698333333333333361e-01
4.100000000000000000e+02,2.159999999999999976e-01,1.678333333333333344e-01
4.150000000000000000e+02,2.129999999999999949e-01,1.658333333333333326e-01
4.200000000000000000e+02,2.109999999999999931e-01,1.650000000000000078e-01
4.250000000000000000e+02,2.089999999999999913e-01,1.635000000000000064e-01
4.300000000000000000e+02,2.069999999999999896e-01,1.625000000000000056e-01
4.350000000000000000e+02,2.059999999999999887e-01,1.623333333333333295e-01
4.400000000000000000e+02,2.039999999999999869e-01,1.608333333333333282e-01
4.450000000000000000e+02,2.030000000000000138e-01,1.606666666666666798e-01
4.500000000000000000e+02,2.030000000000000138e-01,1.610000000000000042e-01
4.550000000000000000e+02,2.030000000000000138e-01,1.615000000000000047e-01
4.600000000000000000e+02,2.030000000000000138e-01,1.620000000000000051e-01
4.650000000000000000e+02,2.039999999999999869e-01,1.636666666666666548e-01
4.700000000000000000e+02,2.049999999999999878e-01,1.649999999999999800e-01
