wavelength,absorbance,subtracted_absorbance
3.000000000000000000e+02,9.050000000000000266e-01,2.481666666666665355e-01
3.050000000000000000e+02,7.419999999999999929e-01,2.281666666666667398e-01
3.100000000000000000e+02,6.690000000000000391e-01,2.166666666666667296e-01
3.150000000000000000e+02,6.219999999999999973e-01,2.083333333333333703e-01
3.200000000000000000e+02,5.769999999999999574e-01,2.016666666666666607e-01
3.250000000000000000e+02,5.390000000000000346e-01,1.955000000000001181e-01
3.300000000000000000e+02,5.070000000000000062e-01,1.906666666666666510e-01
3.350000000000000000e+02,4.739999999999999769e-01,1.858333333333333504e-01
3.400000000000000000e+02,4.470000000000000084e-01,1.818333333333332913e-01
3.450000000000000000e+02,4.279999999999999916e-01,1.790000000000000202e-01
3.500000000000000000e+02,4.149999999999999800e-01,1.768333333333333424e-01
3.550000000000000000e+02,4.030000000000000249e-01,1.750000000000000444e-01
3.600000000000000000e+02,3.860000000000000098e-01,1.726666666666666627e-01
3.650000000000000000e+02,3.569999999999999840e-01,1.676666666666666583e-01
3.700000000000000000e+02,2.959999999999999853e-01,1.588333333333332986e-01
3.750000000000000000e+02,2.349999999999999867e-01,1.470000000000000195e-01
3.800000000000000000e+02,2.109999999999999931e-01,1.421666666666666634e-01
3.850000000000000000e+02,2.000000000000000111e-01,1.401666666666666894e-01
3.900000000000000000e+02,1.940000000000000058e-01,1.385000000000000120e-01
3.950000000000000000e+02,1.900000000000000022e-01,1.371666666666666590e-01
4.000000000000000000e+02,1.869999999999999996e-01,1.361666666666666581e-01
4.050000000000000000e+02,1.839999999999999969e-01,1.348333333333333328e-01
4.100000000000000000e+02,1.819999999999999951e-01,1.338333333333333319e-01
4.150000000000000000e+02,1.809999999999999942e-01,1.338333333333333319e-01
4.200000000000000000e+02,1.789999999999999925e-01,1.330000000000000071e-01
4.250000000000000000e+02,1.779999999999999916e-01,1.325000000000000067e-01
4.300000000000000000e+02,1.759999999999999898e-01,1.315000000000000058e-01
4.350000000000000000e+02,1.739999999999999880e-01,1.303333333333333288e-01
4.400000000000000000e+02,1.719999999999999862e-01,1.288333333333333275e-01
