wavelength,absorbance,subtracted_absorbance
3.000000000000000000e+02,7.990000000000000435e-01,1.421666666666665524e-01
3.050000000000000000e+02,6.330000000000000071e-01,1.191666666666667540e-01
3.100000000000000000e+02,5.580000000000000515e-01,1.056666666666667420e-01
3.150000000000000000e+02,5.110000000000000098e-01,9.733333333333338278e-02
3.200000000000000000e+02,4.630000000000000226e-01,8.766666666666672603e-02
3.250000000000000000e+02,4.229999999999999871e-01,7.950000000000007061e-02
3.300000000000000000e+02,3.910000000000000142e-01,7.466666666666665897e-02
3.350000000000000000e+02,3.549999999999999822e-01,6.683333333333335569e-02
3.400000000000000000e+02,3.270000000000000129e-01,6.183333333333329573e-02
3.450000000000000000e+02,3.069999999999999951e-01,5.800000000000002376e-02
3.500000000000000000e+02,2.929999999999999827e-01,5.483333333333334503e-02
3.550000000000000000e+02,2.810000000000000275e-01,5.300000000000004707e-02
3.600000000000000000e+02,2.640000000000000124e-01,5.066666666666666541e-02
3.650000000000000000e+02,2.349999999999999867e-01,4.566666666666666097e-02
3.700000000000000000e+02,1.729999999999999871e-01,3.583333333333330040e-02
3.750000000000000000e+02,1.110000000000000014e-01,2.300000000000002043e-02
3.800000000000000000e+02,8.699999999999999400e-02,1.816666666666665042e-02
3.850000000000000000e+02,7.499999999999999722e-02,1.516666666666666857e-02
3.900000000000000000e+02,6.900000000000000577e-02,1.350000000000000505e-02
3.950000000000000000e+02,6.600000000000000311e-02,1.316666666666666680e-02
4.000000000000000000e+02,6.300000000000000044e-02,1.216666666666666591e-02
4.050000000000000000e+02,5.999999999999999778e-02,1.083333333333333370e-02
4.100000000000000000e+02,5.899999999999999689e-02,1.083333333333333370e-02
4.150000000000000000e+02,5.700000000000000205e-02,9.833333333333339754e-03
4.200000000000000000e+02,5.500000000000000028e-02,9.000000000000007994e-03
4.250000000000000000e+02,5.399999999999999939e-02,8.500000000000007550e-03
4.300000000000000000e+02,5.299999999999999850e-02,8.500000000000007550e-03
4.350000000000000000e+02,5.199999999999999761e-02,8.333333333333338422e-03
4.400000000000000000e+02,5.099999999999999672e-02,7.833333333333331039e-03
4.450000000000000000e+02,5.000000000000000278e-02,7.666666666666668850e-03
4.500000000000000000e+02,4.900000000000000189e-02,6.999999999999999278e-03
4.550000000000000000e+02,4.900000000000000189e-02,7.499999999999999722e-03
4.600000000000000000e+02,4.800000000000000100e-02,6.999999999999999278e-03
4.650000000000000000e+02,4.700000000000000011e-02,6.666666666666661023e-03
4.700000000000000000e+02,4.700000000000000011e-02,6.999999999999999278e-03
4.750000000000000000e+02,4.599999999999999922e-02,6.333333333333329707e-03
4.800000000000000000e+02,4.599999999999999922e-02,6.666666666666661023e-03
4.850000000000000000e+02,4.599999999999999922e-02,6.833333333333330151e-03
4.900000000000000000e+02,4.499999999999999833e-02,6.166666666666660579e-03
4.950000000000000000e+02,4.499999999999999833e-02,6.333333333333329707e-03
5.000000000000000000e+02,4.499999999999999833e-02,6.333333333333329707e-03
5.050000000000000000e+02,4.499999999999999833e-02,6.666666666666661023e-03
5.100000000000000000e+02,4.499999999999999833e-02,6.666666666666661023e-03
5.150000000000000000e+02,4.499999999999999833e-02,6.499999999999998834e-03
5.200000000000000000e+02,4.499999999999999833e-02,6.499999999999998834e-03
5.250000000000000000e+02,4.499999999999999833e-02,6.666666666666661023e-03
5.300000000000000000e+02,4.499999999999999833e-02,6.499999999999998834e-03
5.350000000000000000e+02,4.499999999999999833e-02,6.333333333333329707e-03
5.400000000000000000e+02,4.499999999999999833e-02,6.166666666666660579e-03
5.450000000000000000e+02,4.499999999999999833e-02,6.166666666666660579e-03
5.500000000000000000e+02,4.499999999999999833e-02,6.166666666666660579e-03
5.550000000000000000e+02,4.499999999999999833e-02,5.999999999999998390e-03
5.600000000000000000e+02,4.499999999999999833e-02,6.166666666666660579e-03
5.650000000000000000e+02,4.499999999999999833e-02,5.833333333333329263e-03
5.700000000000000000e+02,4.499999999999999833e-02,5.833333333333329263e-03
5.750000000000000000e+02,4.499999999999999833e-02,5.833333333333329263e-03
5.800000000000000000e+02,4.499999999999999833e-02,5.833333333333329263e-03
5.850000000000000000e+02,4.499999999999999833e-02,5.833333333333329263e-03
5.900000000000000000e+02,4.499999999999999833e-02,5.333333333333328818e-03
5.950000000000000000e+02,4.499999999999999833e-02,5.499999999999997946e-03
6.000000000000000000e+02,4.499999999999999833e-02,5.166666666666659691e-03
