wavelength,absorbance,subtracted_absorbance
3.000000000000000000e+02,8.179999999999999494e-01,1.611666666666664582e-01
3.050000000000000000e+02,6.710000000000000409e-01,1.571666666666667878e-01
3.100000000000000000e+02,6.049999999999999822e-01,1.526666666666666727e-01
3.150000000000000000e+02,5.600000000000000533e-01,1.463333333333334263e-01
3.200000000000000000e+02,5.160000000000000142e-01,1.406666666666667176e-01
3.250000000000000000e+02,4.779999999999999805e-01,1.345000000000000639e-01
3.300000000000000000e+02,4.470000000000000084e-01,1.306666666666666532e-01
3.350000000000000000e+02,4.119999999999999774e-01,1.238333333333333508e-01
3.400000000000000000e+02,3.840000000000000080e-01,1.188333333333332908e-01
3.450000000000000000e+02,3.629999999999999893e-01,1.140000000000000180e-01
3.500000000000000000e+02,3.479999999999999760e-01,1.098333333333333384e-01
3.550000000000000000e+02,3.340000000000000191e-01,1.060000000000000386e-01
3.600000000000000000e+02,3.150000000000000022e-01,1.016666666666666552e-01
3.650000000000000000e+02,2.849999999999999756e-01,9.566666666666664987e-02
3.700000000000000000e+02,2.250000000000000056e-01,8.783333333333331883e-02
3.750000000000000000e+02,1.660000000000000087e-01,7.800000000000002764e-02
3.800000000000000000e+02,1.419999999999999873e-01,7.316666666666664376e-02
3.850000000000000000e+02,1.280000000000000027e-01,6.816666666666668095e-02
3.900000000000000000e+02,1.199999999999999956e-01,6.450000000000000178e-02
3.950000000000000000e+02,1.140000000000000041e-01,6.116666666666666780e-02
4.000000000000000000e+02,1.089999999999999997e-01,5.816666666666666513e-02
4.050000000000000000e+02,1.039999999999999952e-01,5.483333333333333115e-02
4.100000000000000000e+02,1.000000000000000056e-01,5.183333333333334236e-02
4.150000000000000000e+02,9.700000000000000289e-02,4.983333333333334059e-02
4.200000000000000000e+02,9.400000000000000022e-02,4.800000000000000794e-02
4.250000000000000000e+02,9.199999999999999845e-02,4.650000000000000661e-02
4.300000000000000000e+02,8.899999999999999578e-02,4.450000000000000483e-02
4.350000000000000000e+02,8.599999999999999312e-02,4.233333333333333393e-02
4.400000000000000000e+02,8.400000000000000522e-02,4.083333333333333953e-02
4.450000000000000000e+02,8.200000000000000344e-02,3.966666666666666952e-02
4.500000000000000000e+02,8.000000000000000167e-02,3.799999999999999906e-02
4.550000000000000000e+02,7.799999999999999989e-02,3.649999999999999772e-02
4.600000000000000000e+02,7.599999999999999811e-02,3.499999999999999639e-02
