wavelength,absorbance,subtracted_absorbance
3.000000000000000000e+02,1.512000000000000011e+00,8.551666666666665195e-01
3.050000000000000000e+02,1.340000000000000080e+00,8.261666666666668268e-01
3.100000000000000000e+02,1.250999999999999890e+00,7.986666666666666359e-01
3.150000000000000000e+02,1.187000000000000055e+00,7.733333333333334281e-01
3.200000000000000000e+02,1.122000000000000108e+00,7.466666666666668117e-01
3.250000000000000000e+02,1.064000000000000057e+00,7.205000000000001403e-01
3.300000000000000000e+02,1.012000000000000011e+00,6.956666666666666554e-01
3.350000000000000000e+02,9.599999999999999645e-01,6.718333333333332824e-01
3.400000000000000000e+02,9.170000000000000373e-01,6.518333333333332646e-01
3.450000000000000000e+02,8.840000000000000080e-01,6.350000000000000089e-01
3.500000000000000000e+02,8.609999999999999876e-01,6.228333333333333499e-01
3.550000000000000000e+02,8.419999999999999707e-01,6.139999999999999902e-01
3.600000000000000000e+02,8.179999999999999494e-01,6.046666666666665746e-01
3.650000000000000000e+02,7.840000000000000302e-01,5.946666666666666767e-01
3.700000000000000000e+02,7.159999999999999698e-01,5.788333333333333108e-01
3.750000000000000000e+02,6.490000000000000213e-01,5.610000000000000542e-01
3.800000000000000000e+02,6.199999999999999956e-01,5.511666666666666936e-01
3.850000000000000000e+02,6.019999999999999796e-01,5.421666666666666856e-01
3.900000000000000000e+02,5.899999999999999689e-01,5.344999999999999751e-01
3.950000000000000000e+02,5.809999999999999609e-01,5.281666666666666732e-01
4.000000000000000000e+02,5.719999999999999529e-01,5.211666666666666670e-01
4.050000000000000000e+02,5.629999999999999449e-01,5.138333333333332531e-01
4.100000000000000000e+02,5.560000000000000497e-01,5.078333333333333588e-01
4.150000000000000000e+02,5.490000000000000435e-01,5.018333333333333535e-01
4.200000000000000000e+02,5.430000000000000382e-01,4.970000000000000528e-01
4.250000000000000000e+02,5.380000000000000338e-01,4.925000000000000488e-01
4.300000000000000000e+02,5.340000000000000302e-01,4.895000000000000462e-01
4.350000000000000000e+02,5.300000000000000266e-01,4.863333333333333952e-01
4.400000000000000000e+02,5.280000000000000249e-01,4.848333333333333384e-01
4.450000000000000000e+02,5.260000000000000231e-01,4.836666666666666892e-01
4.500000000000000000e+02,5.250000000000000222e-01,4.830000000000000404e-01
4.550000000000000000e+02,5.260000000000000231e-01,4.845000000000000417e-01
4.600000000000000000e+02,5.280000000000000249e-01,4.870000000000000440e-01
4.650000000000000000e+02,5.320000000000000284e-01,4.916666666666666963e-01
4.700000000000000000e+02,5.390000000000000346e-01,4.990000000000000546e-01
4.750000000000000000e+02,5.480000000000000426e-01,5.083333333333334147e-01
4.800000000000000000e+02,5.610000000000000542e-01,5.216666666666667229e-01
4.850000000000000000e+02,5.759999999999999565e-01,5.368333333333332735e-01
4.900000000000000000e+02,5.979999999999999760e-01,5.591666666666665897e-01
4.950000000000000000e+02,6.209999999999999964e-01,5.823333333333333695e-01
5.000000000000000000e+02,6.500000000000000222e-01,6.113333333333333952e-01
5.050000000000000000e+02,6.800000000000000488e-01,6.416666666666667185e-01
5.100000000000000000e+02,7.099999999999999645e-01,6.716666666666666341e-01
5.150000000000000000e+02,7.349999999999999867e-01,6.965000000000000080e-01
5.200000000000000000e+02,7.560000000000000053e-01,7.175000000000000266e-01
5.250000000000000000e+02,7.690000000000000169e-01,7.306666666666666865e-01
5.300000000000000000e+02,7.730000000000000204e-01,7.345000000000000417e-01
5.350000000000000000e+02,7.700000000000000178e-01,7.313333333333333908e-01
5.400000000000000000e+02,7.570000000000000062e-01,7.181666666666666199e-01
5.450000000000000000e+02,7.389999999999999902e-01,7.001666666666666039e-01
5.500000000000000000e+02,7.139999999999999680e-01,6.751666666666665817e-01
5.550000000000000000e+02,6.860000000000000542e-01,6.470000000000000195e-01
5.600000000000000000e+02,6.550000000000000266e-01,6.161666666666666403e-01
5.650000000000000000e+02,6.250000000000000000e-01,5.858333333333333171e-01
5.700000000000000000e+02,5.939999999999999725e-01,5.548333333333332895e-01
5.750000000000000000e+02,5.659999999999999476e-01,5.268333333333332646e-01
5.800000000000000000e+02,5.390000000000000346e-01,4.998333333333333517e-01
5.850000000000000000e+02,5.140000000000000124e-01,4.748333333333333295e-01
5.900000000000000000e+02,4.909999999999999920e-01,4.513333333333333086e-01
5.950000000000000000e+02,4.689999999999999725e-01,4.294999999999999929e-01
6.000000000000000000e+02,4.510000000000000120e-01,4.111666666666666803e-01
6.050000000000000000e+02,4.329999999999999960e-01,3.931666666666666643e-01
6.100000000000000000e+02,4.159999999999999809e-01,3.761666666666666492e-01
6.150000000000000000e+02,4.000000000000000222e-01,3.605000000000000426e-01
6.200000000000000000e+02,3.850000000000000089e-01,3.456666666666666776e-01
6.250000000000000000e+02,3.709999999999999964e-01,3.316666666666666652e-01
6.300000000000000000e+02,3.589999999999999858e-01,3.198333333333333028e-01
6.350000000000000000e+02,3.479999999999999760e-01,3.088333333333332931e-01
6.400000000000000000e+02,3.370000000000000218e-01,2.981666666666666909e-01
6.450000000000000000e+02,3.270000000000000129e-01,2.881666666666666821e-01
