wavelength,absorbance,subtracted_absorbance
3.000000000000000000e+02,9.799999999999999822e-01,3.231666666666664911e-01
3.050000000000000000e+02,8.219999999999999529e-01,3.081666666666666998e-01
3.100000000000000000e+02,7.459999999999999964e-01,2.936666666666666869e-01
3.150000000000000000e+02,6.929999999999999494e-01,2.793333333333333224e-01
3.200000000000000000e+02,6.380000000000000115e-01,2.626666666666667149e-01
3.250000000000000000e+02,5.889999999999999680e-01,2.455000000000000515e-01
3.300000000000000000e+02,5.440000000000000391e-01,2.276666666666666838e-01
3.350000000000000000e+02,5.000000000000000000e-01,2.118333333333333734e-01
3.400000000000000000e+02,4.610000000000000209e-01,1.958333333333333037e-01
3.450000000000000000e+02,4.329999999999999960e-01,1.840000000000000246e-01
3.500000000000000000e+02,4.119999999999999774e-01,1.738333333333333397e-01
3.550000000000000000e+02,3.950000000000000178e-01,1.670000000000000373e-01
3.600000000000000000e+02,3.739999999999999991e-01,1.606666666666666521e-01
3.650000000000000000e+02,3.439999999999999725e-01,1.546666666666666468e-01
3.700000000000000000e+02,2.819999999999999729e-01,1.448333333333332862e-01
3.750000000000000000e+02,2.210000000000000020e-01,1.330000000000000071e-01
3.800000000000000000e+02,1.960000000000000075e-01,1.271666666666666501e-01
3.850000000000000000e+02,1.839999999999999969e-01,1.241666666666666752e-01
3.900000000000000000e+02,1.769999999999999907e-01,1.214999999999999969e-01
3.950000000000000000e+02,1.719999999999999862e-01,1.191666666666666430e-01
4.000000000000000000e+02,1.680000000000000104e-01,1.171666666666666690e-01
4.050000000000000000e+02,1.640000000000000069e-01,1.148333333333333428e-01
4.100000000000000000e+02,1.610000000000000042e-01,1.128333333333333410e-01
4.150000000000000000e+02,1.580000000000000016e-01,1.108333333333333393e-01
4.200000000000000000e+02,1.549999999999999989e-01,1.090000000000000135e-01
4.250000000000000000e+02,1.529999999999999971e-01,1.075000000000000122e-01
4.300000000000000000e+02,1.509999999999999953e-01,1.065000000000000113e-01
4.350000000000000000e+02,1.489999999999999936e-01,1.053333333333333344e-01
