wavelength,absorbance,subtracted_absorbance
3.000000000000000000e+02,1.141999999999999904e+00,4.851666666666664129e-01
3.050000000000000000e+02,9.619999999999999662e-01,4.481666666666667131e-01
3.100000000000000000e+02,8.679999999999999938e-01,4.156666666666666843e-01
3.150000000000000000e+02,7.990000000000000435e-01,3.853333333333334165e-01
3.200000000000000000e+02,7.299999999999999822e-01,3.546666666666666856e-01
3.250000000000000000e+02,6.650000000000000355e-01,3.215000000000001190e-01
3.300000000000000000e+02,6.049999999999999822e-01,2.886666666666666270e-01
3.350000000000000000e+02,5.440000000000000391e-01,2.558333333333334125e-01
3.400000000000000000e+02,4.909999999999999920e-01,2.258333333333332749e-01
3.450000000000000000e+02,4.470000000000000084e-01,1.980000000000000371e-01
3.500000000000000000e+02,4.129999999999999782e-01,1.748333333333333406e-01
3.550000000000000000e+02,3.850000000000000089e-01,1.570000000000000284e-01
3.600000000000000000e+02,3.539999999999999813e-01,1.406666666666666343e-01
3.650000000000000000e+02,3.170000000000000040e-01,1.276666666666666783e-01
3.700000000000000000e+02,2.479999999999999982e-01,1.108333333333333115e-01
3.750000000000000000e+02,1.829999999999999960e-01,9.500000000000001499e-02
3.800000000000000000e+02,1.539999999999999980e-01,8.516666666666665442e-02
3.850000000000000000e+02,1.370000000000000107e-01,7.716666666666668895e-02
3.900000000000000000e+02,1.250000000000000000e-01,6.950000000000000622e-02
3.950000000000000000e+02,1.170000000000000068e-01,6.416666666666667740e-02
4.000000000000000000e+02,1.100000000000000006e-01,5.916666666666666602e-02
4.050000000000000000e+02,1.029999999999999943e-01,5.383333333333333026e-02
4.100000000000000000e+02,9.700000000000000289e-02,4.883333333333333970e-02
4.150000000000000000e+02,9.199999999999999845e-02,4.483333333333333615e-02
4.200000000000000000e+02,8.699999999999999400e-02,4.100000000000000172e-02
4.250000000000000000e+02,8.400000000000000522e-02,3.850000000000001338e-02
4.300000000000000000e+02,8.000000000000000167e-02,3.550000000000001071e-02
4.350000000000000000e+02,7.699999999999999900e-02,3.333333333333333981e-02
4.400000000000000000e+02,7.399999999999999634e-02,3.083333333333333065e-02
4.450000000000000000e+02,7.099999999999999367e-02,2.866666666666665975e-02
4.500000000000000000e+02,6.900000000000000577e-02,2.700000000000000316e-02
4.550000000000000000e+02,6.700000000000000400e-02,2.550000000000000183e-02
4.600000000000000000e+02,6.500000000000000222e-02,2.400000000000000050e-02
4.650000000000000000e+02,6.300000000000000044e-02,2.266666666666666136e-02
4.700000000000000000e+02,6.199999999999999956e-02,2.199999999999999872e-02
4.750000000000000000e+02,5.999999999999999778e-02,2.033333333333332826e-02
4.800000000000000000e+02,5.899999999999999689e-02,1.966666666666665869e-02
4.850000000000000000e+02,5.800000000000000294e-02,1.883333333333333387e-02
4.900000000000000000e+02,5.700000000000000205e-02,1.816666666666666430e-02
4.950000000000000000e+02,5.700000000000000205e-02,1.833333333333333343e-02
5.000000000000000000e+02,5.600000000000000117e-02,1.733333333333333254e-02
5.050000000000000000e+02,5.600000000000000117e-02,1.766666666666666385e-02
5.100000000000000000e+02,5.600000000000000117e-02,1.766666666666666385e-02
5.150000000000000000e+02,5.500000000000000028e-02,1.650000000000000078e-02
5.200000000000000000e+02,5.500000000000000028e-02,1.650000000000000078e-02
5.250000000000000000e+02,5.500000000000000028e-02,1.666666666666666297e-02
5.300000000000000000e+02,5.500000000000000028e-02,1.650000000000000078e-02
5.350000000000000000e+02,5.500000000000000028e-02,1.633333333333333165e-02
5.400000000000000000e+02,5.500000000000000028e-02,1.616666666666666252e-02
5.450000000000000000e+02,5.500000000000000028e-02,1.616666666666666252e-02
5.500000000000000000e+02,5.500000000000000028e-02,1.616666666666666252e-02
5.550000000000000000e+02,5.500000000000000028e-02,1.600000000000000033e-02
5.600000000000000000e+02,5.500000000000000028e-02,1.616666666666666252e-02
5.650000000000000000e+02,5.500000000000000028e-02,1.583333333333333121e-02
5.700000000000000000e+02,5.500000000000000028e-02,1.583333333333333121e-02
5.750000000000000000e+02,5.399999999999999939e-02,1.483333333333333032e-02
5.800000000000000000e+02,5.399999999999999939e-02,1.483333333333333032e-02
5.850000000000000000e+02,5.399999999999999939e-02,1.483333333333333032e-02
5.900000000000000000e+02,5.399999999999999939e-02,1.433333333333332987e-02
5.950000000000000000e+02,5.399999999999999939e-02,1.449999999999999900e-02
6.000000000000000000e+02,5.399999999999999939e-02,1.416666666666666075e-02
6.050000000000000000e+02,5.399999999999999939e-02,1.416666666666666075e-02
6.100000000000000000e+02,5.399999999999999939e-02,1.416666666666666075e-02
6.150000000000000000e+02,5.299999999999999850e-02,1.349999999999999811e-02
6.200000000000000000e+02,5.299999999999999850e-02,1.366666666666666030e-02
6.250000000000000000e+02,5.299999999999999850e-02,1.366666666666666030e-02
6.300000000000000000e+02,5.199999999999999761e-02,1.283333333333332854e-02
6.350000000000000000e+02,5.199999999999999761e-02,1.283333333333332854e-02
6.400000000000000000e+02,5.199999999999999761e-02,1.316666666666665986e-02
6.450000000000000000e+02,5.099999999999999672e-02,1.216666666666665897e-02
6.500000000000000000e+02,5.099999999999999672e-02,1.233333333333332810e-02
6.550000000000000000e+02,5.099999999999999672e-02,1.233333333333332810e-02
6.600000000000000000e+02,5.099999999999999672e-02,1.216666666666665897e-02
6.650000000000000000e+02,5.099999999999999672e-02,1.233333333333332810e-02
6.700000000000000000e+02,5.099999999999999672e-02,1.249999999999999722e-02
6.750000000000000000e+02,5.099999999999999672e-02,1.249999999999999722e-02
6.800000000000000000e+02,5.099999999999999672e-02,1.266666666666665941e-02
6.850000000000000000e+02,5.099999999999999672e-02,1.266666666666665941e-02
6.900000000000000000e+02,5.099999999999999672e-02,1.283333333333332854e-02
6.950000000000000000e+02,5.099999999999999672e-02,1.266666666666665941e-02
7.000000000000000000e+02,5.199999999999999761e-02,1.349999999999999811e-02
7.050000000000000000e+02,5.199999999999999761e-02,1.266666666666665941e-02
7.100000000000000000e+02,5.299999999999999850e-02,1.233333333333333504e-02
7.150000000000000000e+02,5.399999999999999939e-02,1.233333333333333504e-02
7.200000000000000000e+02,5.500000000000000028e-02,1.316666666666666680e-02
7.250000000000000000e+02,5.500000000000000028e-02,1.233333333333333504e-02
7.300000000000000000e+02,5.700000000000000205e-02,1.250000000000001110e-02
7.350000000000000000e+02,5.899999999999999689e-02,1.250000000000000416e-02
7.400000000000000000e+02,5.999999999999999778e-02,1.300000000000000461e-02
7.450000000000000000e+02,6.099999999999999867e-02,1.383333333333333637e-02
7.500000000000000000e+02,6.099999999999999867e-02,1.383333333333333637e-02
7.550000000000000000e+02,6.099999999999999867e-02,1.383333333333333637e-02
7.600000000000000000e+02,6.099999999999999867e-02,1.383333333333333637e-02
7.650000000000000000e+02,6.099999999999999867e-02,1.416666666666666768e-02
7.700000000000000000e+02,6.099999999999999867e-02,1.450000000000000594e-02
7.750000000000000000e+02,6.099999999999999867e-02,1.483333333333333726e-02
7.800000000000000000e+02,6.099999999999999867e-02,1.550000000000000683e-02
7.850000000000000000e+02,6.099999999999999867e-02,1.583333333333333814e-02
7.900000000000000000e+02,5.999999999999999778e-02,1.566666666666666902e-02
7.950000000000000000e+02,5.999999999999999778e-02,1.600000000000000727e-02
8.000000000000000000e+02,5.999999999999999778e-02,1.683333333333333209e-02
8.050000000000000000e+02,5.999999999999999778e-02,1.683333333333333209e-02
8.100000000000000000e+02,5.999999999999999778e-02,1.699999999999999428e-02
8.150000000000000000e+02,5.999999999999999778e-02,1.683333333333333209e-02
